symbol,date,time,open,high,low,close,volume
HINDUNILVR,2018-03-21,09:16:00,1313.60,1314.50,1312.80,1312.80,4625
HINDUNILVR,2018-03-21,09:17:00,1312.80,1312.80,1310.50,1310.50,1955
HINDUNILVR,2018-03-21,09:18:00,1310.50,1311.10,1308.90,1308.90,3035
HINDUNILVR,2018-03-21,09:19:00,1309.15,1309.40,1307.10,1307.15,4544
HINDUNILVR,2018-03-21,09:20:00,1307.00,1307.70,1305.25,1307.55,8643
HINDUNILVR,2018-03-21,09:21:00,1307.55,1307.90,1306.00,1306.10,6233
HINDUNILVR,2018-03-21,09:22:00,1306.15,1306.45,1305.00,1305.30,9135
HINDUNILVR,2018-03-21,09:23:00,1305.25,1306.25,1305.25,1306.25,1250
HINDUNILVR,2018-03-21,09:24:00,1306.20,1307.00,1306.05,1306.75,1612
HINDUNILVR,2018-03-21,09:25:00,1307.00,1307.45,1307.00,1307.45,4664
HINDUNILVR,2018-03-21,09:26:00,1307.45,1307.50,1306.95,1307.05,1018
HINDUNILVR,2018-03-21,09:27:00,1307.15,1307.95,1307.05,1307.95,5221
HINDUNILVR,2018-03-21,09:28:00,1307.55,1308.05,1307.55,1308.05,1752
HINDUNILVR,2018-03-21,09:29:00,1308.05,1308.50,1308.00,1308.50,4393
HINDUNILVR,2018-03-21,09:30:00,1308.25,1308.50,1308.25,1308.50,784
HINDUNILVR,2018-03-21,09:31:00,1308.25,1308.40,1307.95,1307.95,2318
HINDUNILVR,2018-03-21,09:32:00,1307.15,1307.15,1307.00,1307.00,50
HINDUNILVR,2018-03-21,09:33:00,1307.00,1308.00,1307.00,1308.00,1964
HINDUNILVR,2018-03-21,09:34:00,1308.00,1308.50,1308.00,1308.50,2404
HINDUNILVR,2018-03-21,09:35:00,1308.30,1308.45,1307.70,1307.80,1984
HINDUNILVR,2018-03-21,09:36:00,1307.80,1308.75,1307.80,1308.70,2319
HINDUNILVR,2018-03-21,09:37:00,1308.80,1309.50,1308.80,1309.50,1408
HINDUNILVR,2018-03-21,09:38:00,1309.80,1309.80,1308.05,1308.05,2544
HINDUNILVR,2018-03-21,09:39:00,1308.75,1308.75,1307.75,1307.75,1281
HINDUNILVR,2018-03-21,09:40:00,1307.60,1307.90,1306.80,1307.10,673
HINDUNILVR,2018-03-21,09:41:00,1307.15,1308.40,1307.15,1308.35,1027
HINDUNILVR,2018-03-21,09:42:00,1308.35,1309.60,1308.35,1308.45,2893
HINDUNILVR,2018-03-21,09:43:00,1308.60,1309.90,1308.40,1308.70,3121
HINDUNILVR,2018-03-21,09:44:00,1309.00,1309.50,1309.00,1309.20,1253
HINDUNILVR,2018-03-21,09:45:00,1309.20,1309.80,1309.20,1309.60,927
HINDUNILVR,2018-03-21,09:46:00,1309.60,1309.70,1309.20,1309.55,1481
HINDUNILVR,2018-03-21,09:47:00,1309.50,1309.50,1308.45,1308.55,2251
HINDUNILVR,2018-03-21,09:48:00,1308.55,1308.65,1308.10,1308.10,897
HINDUNILVR,2018-03-21,09:49:00,1307.95,1308.00,1307.05,1307.35,2983
HINDUNILVR,2018-03-21,09:50:00,1307.20,1307.75,1307.20,1307.40,216
HINDUNILVR,2018-03-21,09:51:00,1307.40,1307.50,1307.05,1307.05,899
HINDUNILVR,2018-03-21,09:52:00,1307.35,1307.75,1307.10,1307.50,915
HINDUNILVR,2018-03-21,09:53:00,1307.50,1307.90,1307.10,1307.55,399
HINDUNILVR,2018-03-21,09:54:00,1307.70,1307.70,1306.50,1306.50,1000
HINDUNILVR,2018-03-21,09:55:00,1306.95,1307.65,1305.70,1307.30,2899
