symbol,date,time,open,high,low,close,volume
INDUSINDBK,2018-03-21,09:16:00,1718.30,1729.75,1718.30,1729.75,10378
INDUSINDBK,2018-03-21,09:17:00,1728.50,1733.95,1728.05,1733.45,4661
INDUSINDBK,2018-03-21,09:18:00,1734.00,1734.90,1732.55,1733.80,4682
INDUSINDBK,2018-03-21,09:19:00,1733.85,1734.80,1733.05,1734.40,5331
INDUSINDBK,2018-03-21,09:20:00,1734.00,1734.00,1733.05,1733.75,4185
INDUSINDBK,2018-03-21,09:21:00,1734.00,1734.35,1733.10,1733.10,3147
INDUSINDBK,2018-03-21,09:22:00,1733.20,1734.60,1733.05,1733.65,3040
INDUSINDBK,2018-03-21,09:23:00,1733.70,1733.70,1733.05,1733.05,1456
INDUSINDBK,2018-03-21,09:24:00,1733.25,1733.50,1733.10,1733.25,1221
INDUSINDBK,2018-03-21,09:25:00,1733.25,1733.30,1732.35,1732.35,9995
INDUSINDBK,2018-03-21,09:26:00,1732.50,1732.80,1731.75,1731.75,1476
INDUSINDBK,2018-03-21,09:27:00,1731.75,1733.00,1731.45,1731.45,1548
INDUSINDBK,2018-03-21,09:28:00,1731.70,1731.85,1731.00,1731.75,2397
INDUSINDBK,2018-03-21,09:29:00,1731.55,1732.00,1731.55,1732.00,3823
INDUSINDBK,2018-03-21,09:30:00,1732.00,1732.50,1731.45,1732.25,4384
INDUSINDBK,2018-03-21,09:31:00,1732.20,1732.20,1731.10,1731.95,565
INDUSINDBK,2018-03-21,09:32:00,1731.85,1731.90,1730.70,1731.20,2270
INDUSINDBK,2018-03-21,09:33:00,1731.20,1731.25,1730.00,1730.85,1814
INDUSINDBK,2018-03-21,09:34:00,1731.90,1732.00,1731.55,1732.00,2661
INDUSINDBK,2018-03-21,09:35:00,1732.00,1732.00,1731.15,1732.00,1997
INDUSINDBK,2018-03-21,09:36:00,1732.00,1732.25,1731.60,1731.90,3010
INDUSINDBK,2018-03-21,09:37:00,1731.40,1731.90,1730.05,1730.05,827
INDUSINDBK,2018-03-21,09:38:00,1730.00,1731.50,1729.45,1731.40,5536
INDUSINDBK,2018-03-21,09:39:00,1731.40,1731.60,1730.75,1731.60,1293
INDUSINDBK,2018-03-21,09:40:00,1731.55,1731.60,1731.45,1731.55,932
INDUSINDBK,2018-03-21,09:41:00,1731.30,1731.85,1730.70,1731.65,630
INDUSINDBK,2018-03-21,09:42:00,1731.65,1731.85,1730.20,1730.20,257
INDUSINDBK,2018-03-21,09:43:00,1730.25,1730.70,1730.25,1730.55,583
INDUSINDBK,2018-03-21,09:44:00,1730.60,1730.65,1729.60,1730.00,478
INDUSINDBK,2018-03-21,09:45:00,1730.00,1731.10,1730.00,1730.80,735
INDUSINDBK,2018-03-21,09:46:00,1730.75,1730.75,1728.75,1728.85,26390
INDUSINDBK,2018-03-21,09:47:00,1728.85,1731.10,1728.75,1731.10,6349
INDUSINDBK,2018-03-21,09:48:00,1731.05,1731.95,1731.05,1731.95,1804
INDUSINDBK,2018-03-21,09:49:00,1731.95,1732.50,1731.95,1732.50,2705
INDUSINDBK,2018-03-21,09:50:00,1732.50,1732.75,1732.00,1732.50,2064
INDUSINDBK,2018-03-21,09:51:00,1732.05,1732.05,1731.00,1731.95,813
INDUSINDBK,2018-03-21,09:52:00,1731.55,1731.70,1730.95,1731.55,949
INDUSINDBK,2018-03-21,09:53:00,1731.55,1731.55,1730.75,1731.35,581
INDUSINDBK,2018-03-21,09:54:00,1731.05,1731.55,1728.65,1730.00,1341
INDUSINDBK,2018-03-21,09:55:00,1729.95,1731.45,1729.95,1731.00,1050
INDUSINDBK,2018-03-21,09:56:00,1731.00,1731.25,1730.10,1731.25,553
INDUSINDBK,2018-03-21,09:57:00,1731.25,1731.95,1731.25,1731.95,594
INDUSINDBK,2018-03-21,09:58:00,1731.95,1732.00,1730.90,1732.00,1825
INDUSINDBK,2018-03-21,09:59:00,1732.00,1732.00,1731.30,1731.65,795
INDUSINDBK,2018-03-21,10:00:00,1731.30,1732.65,1731.30,1732.65,3317
INDUSINDBK,2018-03-21,10:01:00,1732.90,1733.40,1732.55,1732.80,1698
INDUSINDBK,2018-03-21,10:02:00,1732.70,1733.50,1732.25,1733.50,897
INDUSINDBK,2018-03-21,10:03:00,1733.15,1734.75,1732.95,1734.45,5930
INDUSINDBK,2018-03-21,10:04:00,1733.50,1735.00,1733.50,1734.65,1026
INDUSINDBK,2018-03-21,10:05:00,1734.75,1734.90,1733.60,1733.95,1782
INDUSINDBK,2018-03-21,10:06:00,1733.80,1734.00,1732.75,1732.75,512
INDUSINDBK,2018-03-21,10:07:00,1733.05,1733.60,1732.30,1732.30,793
INDUSINDBK,2018-03-21,10:08:00,1732.60,1732.60,1731.35,1732.15,1045
INDUSINDBK,2018-03-21,10:09:00,1732.00,1732.15,1731.55,1731.80,1187
INDUSINDBK,2018-03-21,10:10:00,1731.05,1732.10,1731.05,1731.75,922
INDUSINDBK,2018-03-21,10:11:00,1731.40,1732.00,1730.10,1731.15,3050
INDUSINDBK,2018-03-21,10:12:00,1732.00,1732.00,1730.50,1730.65,773
INDUSINDBK,2018-03-21,10:13:00,1730.50,1731.70,1730.50,1731.70,1477
INDUSINDBK,2018-03-21,10:14:00,1731.10,1731.85,1731.10,1731.40,343
INDUSINDBK,2018-03-21,10:15:00,1731.30,1732.45,1731.20,1732.00,1962
INDUSINDBK,2018-03-21,10:16:00,1732.50,1732.60,1732.00,1732.60,2201
INDUSINDBK,2018-03-21,10:17:00,1732.60,1732.60,1732.00,1732.30,1472
INDUSINDBK,2018-03-21,10:18:00,1732.15,1732.90,1731.25,1732.90,1066
INDUSINDBK,2018-03-21,10:19:00,1732.65,1732.65,1731.10,1731.60,2303
INDUSINDBK,2018-03-21,10:20:00,1731.60,1732.35,1731.10,1731.75,254
INDUSINDBK,2018-03-21,10:21:00,1731.10,1731.80,1730.20,1731.00,403
INDUSINDBK,2018-03-21,10:22:00,1730.50,1730.90,1730.00,1730.50,1154
INDUSINDBK,2018-03-21,10:23:00,1730.50,1731.00,1728.40,1728.40,1432
INDUSINDBK,2018-03-21,10:24:00,1728.10,1730.10,1727.70,1730.00,2399
INDUSINDBK,2018-03-21,10:25:00,1730.00,1730.00,1728.90,1729.05,1265
INDUSINDBK,2018-03-21,10:26:00,1729.10,1729.70,1726.85,1727.50,2060
INDUSINDBK,2018-03-21,10:27:00,1727.50,1728.30,1726.85,1728.15,1588
INDUSINDBK,2018-03-21,10:28:00,1728.15,1728.75,1727.50,1728.75,421
INDUSINDBK,2018-03-21,10:29:00,1728.75,1729.20,1728.55,1728.55,437
INDUSINDBK,2018-03-21,10:30:00,1728.50,1729.15,1728.00,1728.00,1133
INDUSINDBK,2018-03-21,10:31:00,1728.00,1729.15,1727.75,1728.15,2228
INDUSINDBK,2018-03-21,10:32:00,1728.00,1728.00,1727.00,1727.15,1388
INDUSINDBK,2018-03-21,10:33:00,1727.10,1728.45,1727.10,1728.45,534
INDUSINDBK,2018-03-21,10:34:00,1728.45,1728.45,1727.10,1727.50,455
INDUSINDBK,2018-03-21,10:35:00,1727.80,1727.80,1726.10,1726.40,840
INDUSINDBK,2018-03-21,10:36:00,1726.00,1726.50,1725.85,1726.00,3616
INDUSINDBK,2018-03-21,10:37:00,1726.50,1728.15,1726.50,1727.95,965
INDUSINDBK,2018-03-21,10:38:00,1727.95,1727.95,1726.85,1726.95,206
INDUSINDBK,2018-03-21,10:39:00,1726.95,1727.15,1725.70,1725.90,522
INDUSINDBK,2018-03-21,10:40:00,1725.40,1727.25,1725.40,1726.75,26743
INDUSINDBK,2018-03-21,10:41:00,1726.95,1727.85,1726.50,1727.45,200
INDUSINDBK,2018-03-21,10:42:00,1727.20,1727.80,1726.50,1726.50,929
INDUSINDBK,2018-03-21,10:43:00,1726.50,1726.95,1726.30,1726.40,646
INDUSINDBK,2018-03-21,10:44:00,1726.80,1727.00,1725.65,1725.65,726
INDUSINDBK,2018-03-21,10:45:00,1726.10,1727.10,1724.80,1725.70,2835
INDUSINDBK,2018-03-21,10:46:00,1725.25,1726.90,1725.25,1726.90,492
INDUSINDBK,2018-03-21,10:47:00,1726.95,1727.00,1726.50,1726.75,916
INDUSINDBK,2018-03-21,10:48:00,1726.85,1727.00,1726.05,1726.15,602
INDUSINDBK,2018-03-21,10:49:00,1726.65,1726.65,1726.05,1726.30,537
INDUSINDBK,2018-03-21,10:50:00,1726.25,1726.45,1726.05,1726.25,1034
INDUSINDBK,2018-03-21,10:51:00,1726.50,1727.00,1726.50,1726.80,2035
INDUSINDBK,2018-03-21,10:52:00,1727.00,1727.00,1726.05,1727.00,1306
INDUSINDBK,2018-03-21,10:53:00,1727.00,1727.00,1726.60,1726.60,1058
INDUSINDBK,2018-03-21,10:54:00,1726.55,1726.70,1726.30,1726.65,558
INDUSINDBK,2018-03-21,10:55:00,1726.35,1726.95,1725.20,1725.60,2349
INDUSINDBK,2018-03-21,10:56:00,1725.85,1726.50,1725.35,1726.20,81
INDUSINDBK,2018-03-21,10:57:00,1726.20,1727.00,1726.20,1727.00,1491
INDUSINDBK,2018-03-21,10:58:00,1727.00,1728.25,1726.90,1728.25,4848
INDUSINDBK,2018-03-21,10:59:00,1727.30,1728.50,1726.90,1728.45,1074
INDUSINDBK,2018-03-21,11:00:00,1728.55,1730.00,1728.00,1729.60,3082
INDUSINDBK,2018-03-21,11:01:00,1729.00,1729.55,1728.30,1729.55,843
INDUSINDBK,2018-03-21,11:02:00,1729.55,1729.55,1728.00,1728.35,1486
INDUSINDBK,2018-03-21,11:03:00,1728.35,1729.70,1728.35,1728.95,1085
INDUSINDBK,2018-03-21,11:04:00,1729.00,1731.00,1728.95,1731.00,2557
INDUSINDBK,2018-03-21,11:05:00,1730.80,1731.15,1729.10,1729.10,1998
INDUSINDBK,2018-03-21,11:06:00,1730.70,1731.25,1729.60,1731.15,1024
INDUSINDBK,2018-03-21,11:07:00,1731.25,1731.45,1731.00,1731.45,857
INDUSINDBK,2018-03-21,11:08:00,1731.45,1731.60,1730.50,1731.10,1256
INDUSINDBK,2018-03-21,11:09:00,1731.10,1731.80,1730.60,1731.75,1054
INDUSINDBK,2018-03-21,11:10:00,1731.75,1732.00,1731.20,1731.70,1627
INDUSINDBK,2018-03-21,11:11:00,1732.10,1732.40,1731.45,1731.75,202
INDUSINDBK,2018-03-21,11:12:00,1731.75,1731.75,1731.05,1731.70,6188
INDUSINDBK,2018-03-21,11:13:00,1731.70,1732.00,1731.30,1732.00,1782
INDUSINDBK,2018-03-21,11:14:00,1732.35,1732.75,1731.50,1731.95,807
INDUSINDBK,2018-03-21,11:15:00,1731.30,1732.00,1731.30,1732.00,367
