symbol,date,time,open,high,low,close,volume
INFRATEL,2018-03-21,09:15:00,343.55,343.55,343.55,343.55,50
INFRATEL,2018-03-21,09:16:00,344.05,344.40,342.30,342.80,27218
INFRATEL,2018-03-21,09:17:00,342.80,343.50,342.60,343.40,23359
INFRATEL,2018-03-21,09:18:00,343.35,345.00,343.35,344.20,59784
INFRATEL,2018-03-21,09:19:00,344.15,344.20,343.20,343.80,45755
INFRATEL,2018-03-21,09:20:00,343.75,343.75,343.00,343.05,16635
INFRATEL,2018-03-21,09:21:00,343.00,343.05,341.25,341.60,28036
INFRATEL,2018-03-21,09:22:00,341.75,341.75,340.70,340.90,24792
INFRATEL,2018-03-21,09:23:00,340.80,340.85,340.00,340.05,18380
INFRATEL,2018-03-21,09:24:00,340.00,340.25,339.05,339.05,25574
INFRATEL,2018-03-21,09:25:00,339.35,339.75,339.00,339.75,26344
INFRATEL,2018-03-21,09:26:00,339.70,340.50,339.70,339.75,42560
INFRATEL,2018-03-21,09:27:00,339.75,339.80,339.30,339.35,5895
INFRATEL,2018-03-21,09:28:00,339.50,339.50,338.30,338.30,31214
INFRATEL,2018-03-21,09:29:00,338.30,339.20,338.15,339.20,31258
INFRATEL,2018-03-21,09:30:00,339.20,339.20,339.00,339.10,15072
INFRATEL,2018-03-21,09:31:00,339.15,339.15,338.90,338.95,24867
INFRATEL,2018-03-21,09:32:00,338.95,339.00,338.90,338.90,10828
INFRATEL,2018-03-21,09:33:00,338.90,338.95,338.75,338.90,6046
INFRATEL,2018-03-21,09:34:00,338.90,338.95,338.75,338.90,7586
INFRATEL,2018-03-21,09:35:00,338.90,340.30,338.90,340.25,28696
INFRATEL,2018-03-21,09:36:00,340.30,341.45,340.30,341.25,20621
INFRATEL,2018-03-21,09:37:00,341.25,341.50,341.20,341.25,14382
INFRATEL,2018-03-21,09:38:00,341.40,341.65,341.30,341.55,6001
INFRATEL,2018-03-21,09:39:00,341.55,342.00,341.55,341.85,12645
INFRATEL,2018-03-21,09:40:00,342.00,342.35,341.35,341.35,34736
INFRATEL,2018-03-21,09:41:00,341.40,341.40,340.00,340.10,27693
INFRATEL,2018-03-21,09:42:00,340.05,340.10,338.55,338.65,27569
INFRATEL,2018-03-21,09:43:00,338.65,338.70,338.15,338.30,16034
INFRATEL,2018-03-21,09:44:00,338.30,339.00,338.20,339.00,26959
INFRATEL,2018-03-21,09:45:00,339.30,339.35,338.60,338.65,13741
INFRATEL,2018-03-21,09:46:00,338.65,339.00,338.65,338.80,9659
INFRATEL,2018-03-21,09:47:00,338.80,339.30,338.80,339.30,7682
INFRATEL,2018-03-21,09:48:00,339.25,339.45,339.25,339.30,6895
INFRATEL,2018-03-21,09:49:00,339.30,339.40,339.30,339.40,4251
INFRATEL,2018-03-21,09:50:00,339.35,339.40,339.05,339.30,14399
INFRATEL,2018-03-21,09:51:00,339.30,339.35,339.20,339.30,5454
INFRATEL,2018-03-21,09:52:00,339.30,339.30,338.90,338.90,8431
INFRATEL,2018-03-21,09:53:00,338.90,338.95,338.90,338.90,4127
INFRATEL,2018-03-21,09:54:00,338.90,339.00,338.90,338.90,7191
INFRATEL,2018-03-21,09:55:00,339.00,339.95,339.00,339.90,8715
INFRATEL,2018-03-21,09:56:00,339.90,340.50,339.90,340.40,11938
INFRATEL,2018-03-21,09:57:00,340.40,340.40,339.90,339.90,10482
INFRATEL,2018-03-21,09:58:00,339.90,339.95,339.70,339.70,6516
INFRATEL,2018-03-21,09:59:00,339.45,339.70,339.35,339.40,4604
INFRATEL,2018-03-21,10:00:00,339.40,339.50,339.40,339.45,2360
INFRATEL,2018-03-21,10:01:00,339.40,339.65,339.40,339.65,7016
INFRATEL,2018-03-21,10:02:00,339.65,339.80,339.40,339.80,4067
INFRATEL,2018-03-21,10:03:00,339.80,340.40,339.75,340.00,3514
INFRATEL,2018-03-21,10:04:00,340.00,340.10,340.00,340.05,4182
INFRATEL,2018-03-21,10:05:00,340.05,340.50,340.00,340.45,5578
INFRATEL,2018-03-21,10:06:00,340.35,340.70,340.20,340.20,4568
INFRATEL,2018-03-21,10:07:00,340.35,340.60,340.25,340.55,4919
INFRATEL,2018-03-21,10:08:00,340.40,340.55,339.90,340.00,14662
INFRATEL,2018-03-21,10:09:00,340.00,340.05,339.85,339.90,5247
INFRATEL,2018-03-21,10:10:00,339.70,339.95,339.65,339.75,2038
INFRATEL,2018-03-21,10:11:00,339.75,339.80,339.75,339.75,1724
INFRATEL,2018-03-21,10:12:00,339.80,339.80,339.45,339.55,8910
INFRATEL,2018-03-21,10:13:00,339.55,339.80,339.55,339.80,6537
INFRATEL,2018-03-21,10:14:00,339.80,339.95,339.80,339.80,5634
INFRATEL,2018-03-21,10:15:00,339.85,339.85,339.75,339.80,2117
INFRATEL,2018-03-21,10:16:00,339.80,339.80,339.65,339.70,8152
INFRATEL,2018-03-21,10:17:00,339.65,339.70,339.40,339.40,4998
INFRATEL,2018-03-21,10:18:00,339.40,339.65,339.40,339.65,5407
INFRATEL,2018-03-21,10:19:00,339.60,339.95,339.60,339.85,6099
INFRATEL,2018-03-21,10:20:00,339.85,340.05,339.85,339.90,4919
INFRATEL,2018-03-21,10:21:00,339.95,340.05,339.95,339.95,2518
INFRATEL,2018-03-21,10:22:00,339.95,340.00,339.95,340.00,2283
INFRATEL,2018-03-21,10:23:00,340.00,340.20,340.00,340.20,271
INFRATEL,2018-03-21,10:24:00,340.10,340.20,340.10,340.10,1403
INFRATEL,2018-03-21,10:25:00,340.10,340.10,339.90,339.90,4022
INFRATEL,2018-03-21,10:26:00,339.95,339.95,339.75,339.80,5113
INFRATEL,2018-03-21,10:27:00,339.75,340.05,339.70,340.05,7756
INFRATEL,2018-03-21,10:28:00,340.20,340.20,339.85,339.85,4332
INFRATEL,2018-03-21,10:29:00,339.85,340.00,339.85,339.90,701
INFRATEL,2018-03-21,10:30:00,339.95,339.95,339.90,339.95,535
INFRATEL,2018-03-21,10:31:00,339.90,339.95,339.90,339.90,493
INFRATEL,2018-03-21,10:32:00,339.95,340.05,339.90,340.05,1245
INFRATEL,2018-03-21,10:33:00,340.00,340.00,339.90,339.95,3100
INFRATEL,2018-03-21,10:34:00,339.90,339.90,339.90,339.90,71
INFRATEL,2018-03-21,10:35:00,339.90,340.00,339.90,340.00,2036
INFRATEL,2018-03-21,10:36:00,339.90,340.00,339.90,339.95,7563
INFRATEL,2018-03-21,10:37:00,340.00,340.00,339.80,340.00,4779
INFRATEL,2018-03-21,10:38:00,340.00,340.05,340.00,340.00,375
INFRATEL,2018-03-21,10:39:00,340.05,340.05,340.00,340.00,236
INFRATEL,2018-03-21,10:40:00,340.05,340.10,339.85,339.95,2406
INFRATEL,2018-03-21,10:41:00,339.85,339.95,339.85,339.90,1619
INFRATEL,2018-03-21,10:42:00,339.90,339.95,339.90,339.95,1388
INFRATEL,2018-03-21,10:43:00,339.90,339.95,339.90,339.90,1538
INFRATEL,2018-03-21,10:44:00,339.90,340.05,339.90,340.00,1510
INFRATEL,2018-03-21,10:45:00,340.00,340.05,340.00,340.00,795
INFRATEL,2018-03-21,10:46:00,340.00,340.05,340.00,340.00,3761
