symbol,date,time,open,high,low,close,volume
INFY,2018-03-21,09:16:00,1170.85,1172.90,1170.10,1172.55,17407
INFY,2018-03-21,09:17:00,1172.60,1172.90,1170.85,1171.80,29665
INFY,2018-03-21,09:18:00,1171.60,1172.40,1171.15,1171.85,14107
INFY,2018-03-21,09:19:00,1171.70,1172.00,1170.15,1170.20,22674
INFY,2018-03-21,09:20:00,1170.70,1173.00,1170.70,1173.00,15306
INFY,2018-03-21,09:21:00,1173.00,1173.90,1173.00,1173.50,14818
INFY,2018-03-21,09:22:00,1173.60,1174.85,1173.55,1174.25,23679
INFY,2018-03-21,09:23:00,1174.30,1174.60,1174.20,1174.30,8637
INFY,2018-03-21,09:24:00,1174.30,1175.20,1174.30,1175.20,24034
INFY,2018-03-21,09:25:00,1175.20,1175.50,1174.50,1175.05,17661
INFY,2018-03-21,09:26:00,1175.30,1175.30,1172.50,1172.60,6985
INFY,2018-03-21,09:27:00,1172.85,1172.85,1171.20,1172.15,12098
INFY,2018-03-21,09:28:00,1172.10,1172.15,1171.30,1171.55,16197
INFY,2018-03-21,09:29:00,1171.75,1172.50,1171.55,1171.95,6995
INFY,2018-03-21,09:30:00,1171.80,1172.65,1171.15,1171.90,13078
INFY,2018-03-21,09:31:00,1171.95,1172.40,1171.85,1172.40,9138
INFY,2018-03-21,09:32:00,1172.50,1172.95,1172.00,1172.40,7420
INFY,2018-03-21,09:33:00,1172.50,1172.70,1172.00,1172.45,17891
INFY,2018-03-21,09:34:00,1172.70,1172.75,1172.20,1172.40,8399
INFY,2018-03-21,09:35:00,1172.55,1172.55,1170.90,1171.25,13447
INFY,2018-03-21,09:36:00,1171.15,1171.70,1169.45,1169.45,16491
INFY,2018-03-21,09:37:00,1170.15,1170.45,1169.20,1170.15,17033
INFY,2018-03-21,09:38:00,1170.10,1170.10,1168.10,1168.55,18188
INFY,2018-03-21,09:39:00,1168.60,1169.20,1168.50,1168.50,9828
INFY,2018-03-21,09:40:00,1168.00,1168.25,1166.05,1166.60,18910
INFY,2018-03-21,09:41:00,1166.15,1167.10,1166.00,1167.10,13253
INFY,2018-03-21,09:42:00,1167.05,1168.20,1167.05,1168.10,9598
INFY,2018-03-21,09:43:00,1168.20,1168.60,1167.25,1167.55,9441
INFY,2018-03-21,09:44:00,1167.55,1168.10,1167.45,1167.95,10712
INFY,2018-03-21,09:45:00,1168.10,1168.50,1167.95,1168.15,7163
INFY,2018-03-21,09:46:00,1168.15,1168.15,1167.20,1167.40,9282
INFY,2018-03-21,09:47:00,1167.25,1167.40,1166.00,1166.40,22845
INFY,2018-03-21,09:48:00,1166.15,1166.90,1165.85,1166.90,9501
INFY,2018-03-21,09:49:00,1166.70,1167.65,1166.35,1167.30,5008
INFY,2018-03-21,09:50:00,1167.30,1168.10,1167.30,1167.75,13869
INFY,2018-03-21,09:51:00,1167.45,1168.00,1167.45,1168.00,7467
INFY,2018-03-21,09:52:00,1168.20,1168.20,1167.10,1167.95,10807
INFY,2018-03-21,09:53:00,1167.60,1168.40,1167.55,1167.90,15758
INFY,2018-03-21,09:54:00,1167.95,1167.95,1167.85,1167.85,3114
INFY,2018-03-21,09:55:00,1167.85,1168.20,1167.85,1167.95,7377
INFY,2018-03-21,09:56:00,1168.00,1168.90,1167.95,1168.60,4796
INFY,2018-03-21,09:57:00,1168.65,1168.90,1168.50,1168.90,6246
INFY,2018-03-21,09:58:00,1168.90,1169.45,1168.70,1169.10,4300
INFY,2018-03-21,09:59:00,1169.15,1169.45,1169.10,1169.25,7476
INFY,2018-03-21,10:00:00,1169.15,1171.45,1169.15,1171.30,11074
