symbol,date,time,open,high,low,close,volume
ITC,2018-03-21,09:16:00,260.30,260.70,260.05,260.15,80899
ITC,2018-03-21,09:17:00,260.10,260.35,260.05,260.30,40639
ITC,2018-03-21,09:18:00,260.30,260.55,260.15,260.40,43947
ITC,2018-03-21,09:19:00,260.45,260.50,260.05,260.50,54538
ITC,2018-03-21,09:20:00,260.50,260.55,260.40,260.55,21278
ITC,2018-03-21,09:21:00,260.50,260.75,260.50,260.50,58859
ITC,2018-03-21,09:22:00,260.50,260.65,260.45,260.65,16436
ITC,2018-03-21,09:23:00,260.65,260.95,260.60,260.90,30872
ITC,2018-03-21,09:24:00,260.90,261.20,260.80,261.20,105587
ITC,2018-03-21,09:25:00,261.20,261.40,261.10,261.15,47293
ITC,2018-03-21,09:26:00,261.10,261.10,260.80,260.80,29593
ITC,2018-03-21,09:27:00,260.85,260.95,260.80,260.85,15295
ITC,2018-03-21,09:28:00,260.85,260.85,260.75,260.85,34978
ITC,2018-03-21,09:29:00,260.90,261.00,260.75,260.80,21997
ITC,2018-03-21,09:30:00,260.75,260.80,260.70,260.70,9125
ITC,2018-03-21,09:31:00,260.70,260.80,260.50,260.60,15606
ITC,2018-03-21,09:32:00,260.60,260.60,260.50,260.50,7225
ITC,2018-03-21,09:33:00,260.55,260.70,260.50,260.70,18024
ITC,2018-03-21,09:34:00,260.70,260.85,260.65,260.80,22706
ITC,2018-03-21,09:35:00,260.75,260.85,260.65,260.70,20537
ITC,2018-03-21,09:36:00,260.70,260.80,260.65,260.80,18348
ITC,2018-03-21,09:37:00,260.75,260.80,260.75,260.75,9500
ITC,2018-03-21,09:38:00,260.75,260.75,260.55,260.60,11071
ITC,2018-03-21,09:39:00,260.55,260.60,260.55,260.60,14057
ITC,2018-03-21,09:40:00,260.55,260.60,260.30,260.35,23655
ITC,2018-03-21,09:41:00,260.35,260.45,260.30,260.35,11420
ITC,2018-03-21,09:42:00,260.35,260.40,260.30,260.40,12467
ITC,2018-03-21,09:43:00,260.45,260.60,260.45,260.60,9799
ITC,2018-03-21,09:44:00,260.50,260.70,260.50,260.55,9137
ITC,2018-03-21,09:45:00,260.50,260.60,260.45,260.55,16398
ITC,2018-03-21,09:46:00,260.55,260.55,260.40,260.40,7660
ITC,2018-03-21,09:47:00,260.45,260.50,260.40,260.45,8784
ITC,2018-03-21,09:48:00,260.40,260.55,260.40,260.55,15364
ITC,2018-03-21,09:49:00,260.60,260.60,260.35,260.50,10990
ITC,2018-03-21,09:50:00,260.45,260.50,260.40,260.45,4171
ITC,2018-03-21,09:51:00,260.45,260.45,260.35,260.40,5772
ITC,2018-03-21,09:52:00,260.40,260.40,260.30,260.30,6036
ITC,2018-03-21,09:53:00,260.30,260.35,260.20,260.20,16017
ITC,2018-03-21,09:54:00,260.20,260.25,260.15,260.20,5493
ITC,2018-03-21,09:55:00,260.20,260.40,260.20,260.35,18418
ITC,2018-03-21,09:56:00,260.40,260.50,260.35,260.40,13289
ITC,2018-03-21,09:57:00,260.50,260.60,260.50,260.55,34852
ITC,2018-03-21,09:58:00,260.55,260.65,260.50,260.65,39424
ITC,2018-03-21,09:59:00,260.65,260.65,260.60,260.65,5608
ITC,2018-03-21,10:00:00,260.60,260.80,260.60,260.80,28510
ITC,2018-03-21,10:01:00,260.80,260.80,260.70,260.70,16919
ITC,2018-03-21,10:02:00,260.70,261.05,260.70,261.00,101715
ITC,2018-03-21,10:03:00,261.05,261.25,260.95,261.05,105911
ITC,2018-03-21,10:04:00,261.10,261.10,260.90,261.10,30271
ITC,2018-03-21,10:05:00,261.05,261.10,260.85,260.90,10583
ITC,2018-03-21,10:06:00,260.85,260.90,260.65,260.70,13248
ITC,2018-03-21,10:07:00,260.75,260.90,260.70,260.90,18432
ITC,2018-03-21,10:08:00,260.90,261.05,260.85,261.05,26850
ITC,2018-03-21,10:09:00,261.05,261.10,261.05,261.05,12647
ITC,2018-03-21,10:10:00,261.05,261.10,261.05,261.10,11459
ITC,2018-03-21,10:11:00,261.10,261.20,261.05,261.15,6653
ITC,2018-03-21,10:12:00,261.15,261.50,261.15,261.40,46595
ITC,2018-03-21,10:13:00,261.35,261.45,261.35,261.40,14107
ITC,2018-03-21,10:14:00,261.45,261.50,261.30,261.30,105327
ITC,2018-03-21,10:15:00,261.35,261.65,261.30,261.45,55618
ITC,2018-03-21,10:16:00,261.45,261.45,261.20,261.25,14926
ITC,2018-03-21,10:17:00,261.25,261.25,261.20,261.20,14694
ITC,2018-03-21,10:18:00,261.15,261.15,261.05,261.15,19866
ITC,2018-03-21,10:19:00,261.15,261.20,261.15,261.20,23247
ITC,2018-03-21,10:20:00,261.20,261.25,261.10,261.10,36236
ITC,2018-03-21,10:21:00,261.15,261.35,261.10,261.30,63871
ITC,2018-03-21,10:22:00,261.25,261.25,261.15,261.15,6911
ITC,2018-03-21,10:23:00,261.20,261.20,261.00,261.05,13777
ITC,2018-03-21,10:24:00,261.00,261.05,260.90,260.95,17699
ITC,2018-03-21,10:25:00,260.95,261.00,260.80,261.00,18090
ITC,2018-03-21,10:26:00,261.00,261.00,260.85,260.95,6138
ITC,2018-03-21,10:27:00,260.95,261.00,260.95,261.00,17617
ITC,2018-03-21,10:28:00,261.00,261.00,260.90,260.90,11570
ITC,2018-03-21,10:29:00,260.90,260.95,260.85,260.95,8334
ITC,2018-03-21,10:30:00,260.95,261.00,260.95,261.00,8134
ITC,2018-03-21,10:31:00,261.00,261.00,260.85,260.90,13858
ITC,2018-03-21,10:32:00,260.85,260.90,260.80,260.90,5707
ITC,2018-03-21,10:33:00,260.85,260.85,260.75,260.75,448018
ITC,2018-03-21,10:34:00,260.80,260.90,260.75,260.90,28910
ITC,2018-03-21,10:35:00,260.90,260.90,260.85,260.90,14315
ITC,2018-03-21,10:36:00,260.90,261.00,260.90,261.00,34065
ITC,2018-03-21,10:37:00,261.00,261.00,260.95,261.00,7569
ITC,2018-03-21,10:38:00,261.00,261.00,260.95,261.00,25630
ITC,2018-03-21,10:39:00,261.00,261.00,260.95,261.00,10608
ITC,2018-03-21,10:40:00,261.00,261.00,260.80,260.85,8861
ITC,2018-03-21,10:41:00,260.85,260.90,260.80,260.90,7176
ITC,2018-03-21,10:42:00,260.90,260.90,260.85,260.90,6516
ITC,2018-03-21,10:43:00,260.90,260.95,260.85,260.95,13488
ITC,2018-03-21,10:44:00,261.00,261.00,260.90,260.95,4457
ITC,2018-03-21,10:45:00,260.95,261.10,260.90,261.10,94207
ITC,2018-03-21,10:46:00,261.00,261.10,261.00,261.05,24774
ITC,2018-03-21,10:47:00,261.10,261.10,260.95,260.95,34529
ITC,2018-03-21,10:48:00,261.00,261.00,260.90,260.95,7050
ITC,2018-03-21,10:49:00,260.95,260.95,260.90,260.90,6950
ITC,2018-03-21,10:50:00,260.90,260.90,260.85,260.85,4266
ITC,2018-03-21,10:51:00,260.85,260.95,260.85,260.90,7823
ITC,2018-03-21,10:52:00,260.90,261.00,260.90,260.95,8925
ITC,2018-03-21,10:53:00,261.00,261.00,260.95,261.00,2919
ITC,2018-03-21,10:54:00,261.00,261.00,260.95,260.95,17943
ITC,2018-03-21,10:55:00,260.95,261.00,260.95,261.00,24897
ITC,2018-03-21,10:56:00,261.00,261.00,260.95,260.95,13776
ITC,2018-03-21,10:57:00,261.00,261.00,260.90,260.95,8654
ITC,2018-03-21,10:58:00,260.95,260.95,260.90,260.95,4254
ITC,2018-03-21,10:59:00,260.95,260.95,260.90,260.95,32015
ITC,2018-03-21,11:00:00,260.95,260.95,260.70,260.75,36006
ITC,2018-03-21,11:01:00,260.70,260.75,260.60,260.60,12785
ITC,2018-03-21,11:02:00,260.60,260.60,260.10,260.25,158713
ITC,2018-03-21,11:03:00,260.25,260.25,259.85,260.15,64239
ITC,2018-03-21,11:04:00,260.15,260.15,260.00,260.00,20574
ITC,2018-03-21,11:05:00,260.00,260.00,259.90,260.00,23988
ITC,2018-03-21,11:06:00,260.00,260.00,259.95,259.95,7255
ITC,2018-03-21,11:07:00,259.95,260.00,259.95,259.95,66595
ITC,2018-03-21,11:08:00,260.00,260.00,259.90,259.90,6774
ITC,2018-03-21,11:09:00,259.95,260.00,259.95,260.00,83008
ITC,2018-03-21,11:10:00,260.00,260.30,260.00,260.30,21741
ITC,2018-03-21,11:11:00,260.30,260.50,260.25,260.50,8917
ITC,2018-03-21,11:12:00,260.45,260.65,260.40,260.40,10482
ITC,2018-03-21,11:13:00,260.40,260.45,260.35,260.40,4652
ITC,2018-03-21,11:14:00,260.40,260.50,260.40,260.50,27239
ITC,2018-03-21,11:15:00,260.50,261.00,260.45,260.80,49150
ITC,2018-03-21,11:16:00,260.80,260.90,260.75,260.75,25977
ITC,2018-03-21,11:17:00,260.80,260.80,260.55,260.65,18290
ITC,2018-03-21,11:18:00,260.65,260.70,260.65,260.70,28422
ITC,2018-03-21,11:19:00,260.65,260.70,260.50,260.55,14358
ITC,2018-03-21,11:20:00,260.55,260.55,260.45,260.50,9966
ITC,2018-03-21,11:21:00,260.50,260.50,260.40,260.40,18282
ITC,2018-03-21,11:22:00,260.40,260.40,260.25,260.30,13164
