symbol,date,time,open,high,low,close,volume
KOTAKBANK,2018-03-21,09:15:00,1054.85,1054.85,1054.85,1054.85,212
KOTAKBANK,2018-03-21,09:16:00,1054.80,1055.35,1052.10,1055.30,23898
KOTAKBANK,2018-03-21,09:17:00,1055.90,1055.90,1053.90,1054.05,18083
KOTAKBANK,2018-03-21,09:18:00,1054.50,1054.50,1053.45,1053.90,8040
KOTAKBANK,2018-03-21,09:19:00,1054.00,1054.65,1054.00,1054.00,3890
KOTAKBANK,2018-03-21,09:20:00,1054.35,1054.75,1054.00,1054.00,10583
KOTAKBANK,2018-03-21,09:21:00,1053.95,1054.40,1053.75,1054.10,3421
KOTAKBANK,2018-03-21,09:22:00,1054.10,1054.25,1053.60,1053.85,4208
KOTAKBANK,2018-03-21,09:23:00,1053.60,1054.00,1053.15,1053.70,3883
KOTAKBANK,2018-03-21,09:24:00,1053.70,1054.00,1053.70,1054.00,1410
KOTAKBANK,2018-03-21,09:25:00,1054.00,1054.10,1053.25,1053.75,4265
KOTAKBANK,2018-03-21,09:26:00,1053.70,1054.00,1053.55,1054.00,919
KOTAKBANK,2018-03-21,09:27:00,1053.90,1054.30,1053.65,1053.65,1274
KOTAKBANK,2018-03-21,09:28:00,1053.75,1053.75,1053.50,1053.60,1061
KOTAKBANK,2018-03-21,09:29:00,1053.65,1054.70,1053.65,1054.65,1881
KOTAKBANK,2018-03-21,09:30:00,1054.55,1054.65,1054.45,1054.45,227
KOTAKBANK,2018-03-21,09:31:00,1054.45,1054.55,1053.00,1053.00,3366
KOTAKBANK,2018-03-21,09:32:00,1053.05,1053.25,1052.50,1052.50,2360
KOTAKBANK,2018-03-21,09:33:00,1052.50,1052.50,1051.00,1051.85,3390
KOTAKBANK,2018-03-21,09:34:00,1051.80,1051.80,1051.00,1051.70,4176
KOTAKBANK,2018-03-21,09:35:00,1051.70,1051.95,1051.70,1051.90,988
KOTAKBANK,2018-03-21,09:36:00,1051.95,1052.80,1051.85,1052.80,1549
KOTAKBANK,2018-03-21,09:37:00,1052.80,1052.80,1052.25,1052.25,4577
KOTAKBANK,2018-03-21,09:38:00,1052.25,1052.95,1052.00,1052.70,127391
KOTAKBANK,2018-03-21,09:39:00,1052.65,1053.00,1052.65,1053.00,1177
KOTAKBANK,2018-03-21,09:40:00,1053.40,1053.40,1053.00,1053.40,333
KOTAKBANK,2018-03-21,09:41:00,1053.05,1053.05,1052.15,1052.35,2313
KOTAKBANK,2018-03-21,09:42:00,1052.20,1052.50,1051.80,1052.50,1280
KOTAKBANK,2018-03-21,09:43:00,1052.00,1052.00,1051.65,1051.70,144
KOTAKBANK,2018-03-21,09:44:00,1051.50,1051.60,1051.30,1051.35,848
KOTAKBANK,2018-03-21,09:45:00,1051.35,1051.35,1050.60,1051.25,1614
KOTAKBANK,2018-03-21,09:46:00,1051.30,1051.50,1051.25,1051.45,437
KOTAKBANK,2018-03-21,09:47:00,1051.30,1051.30,1051.10,1051.10,363
KOTAKBANK,2018-03-21,09:48:00,1051.10,1051.80,1051.10,1051.20,2540
KOTAKBANK,2018-03-21,09:49:00,1051.85,1051.85,1051.20,1051.50,698
KOTAKBANK,2018-03-21,09:50:00,1051.30,1051.50,1051.30,1051.50,395
KOTAKBANK,2018-03-21,09:51:00,1051.50,1052.10,1051.50,1051.95,200
KOTAKBANK,2018-03-21,09:52:00,1052.00,1052.50,1051.95,1052.50,929
KOTAKBANK,2018-03-21,09:53:00,1052.85,1053.30,1052.40,1053.30,474
KOTAKBANK,2018-03-21,09:54:00,1053.15,1053.15,1053.00,1053.15,169
KOTAKBANK,2018-03-21,09:55:00,1053.20,1053.80,1053.20,1053.50,545
KOTAKBANK,2018-03-21,09:56:00,1053.50,1054.00,1053.35,1053.75,274
KOTAKBANK,2018-03-21,09:57:00,1054.00,1054.65,1054.00,1054.65,1573
KOTAKBANK,2018-03-21,09:58:00,1054.65,1054.90,1054.35,1054.40,3123
KOTAKBANK,2018-03-21,09:59:00,1054.90,1054.90,1054.25,1054.80,2170
KOTAKBANK,2018-03-21,10:00:00,1054.75,1055.00,1054.55,1054.90,3394
KOTAKBANK,2018-03-21,10:01:00,1054.95,1055.20,1054.55,1055.10,1238
KOTAKBANK,2018-03-21,10:02:00,1055.15,1056.40,1054.65,1054.65,8301
