symbol,date,time,open,high,low,close,volume
LT,2018-03-21,09:16:00,1296.95,1299.70,1296.90,1299.45,27754
LT,2018-03-21,09:17:00,1299.50,1303.65,1299.30,1303.65,21369
LT,2018-03-21,09:18:00,1303.70,1304.80,1303.00,1303.10,28381
LT,2018-03-21,09:19:00,1303.25,1304.15,1302.00,1303.85,17384
LT,2018-03-21,09:20:00,1304.00,1305.00,1303.85,1304.70,9689
LT,2018-03-21,09:21:00,1304.70,1306.00,1304.40,1305.40,11993
LT,2018-03-21,09:22:00,1305.40,1306.20,1305.25,1305.85,8415
LT,2018-03-21,09:23:00,1305.85,1306.65,1305.55,1306.40,9965
LT,2018-03-21,09:24:00,1306.40,1308.90,1306.35,1308.75,23098
LT,2018-03-21,09:25:00,1308.75,1308.95,1307.35,1308.95,18180
LT,2018-03-21,09:26:00,1308.95,1309.00,1307.25,1308.00,11046
LT,2018-03-21,09:27:00,1308.05,1309.50,1308.05,1309.35,8447
LT,2018-03-21,09:28:00,1309.35,1309.35,1308.60,1309.35,6865
LT,2018-03-21,09:29:00,1308.95,1309.25,1308.00,1308.45,8157
LT,2018-03-21,09:30:00,1308.05,1309.00,1308.00,1308.85,6122
LT,2018-03-21,09:31:00,1308.90,1309.10,1308.60,1309.00,6085
LT,2018-03-21,09:32:00,1309.00,1309.00,1307.60,1307.70,5300
LT,2018-03-21,09:33:00,1307.70,1307.80,1306.60,1307.20,6349
LT,2018-03-21,09:34:00,1307.65,1308.00,1307.35,1307.85,4442
LT,2018-03-21,09:35:00,1307.95,1308.00,1307.40,1307.60,3471
LT,2018-03-21,09:36:00,1307.90,1308.00,1307.55,1308.00,9582
LT,2018-03-21,09:37:00,1308.20,1308.75,1308.00,1308.55,4392
LT,2018-03-21,09:38:00,1308.50,1308.50,1307.50,1308.00,5202
LT,2018-03-21,09:39:00,1308.00,1308.00,1307.10,1307.70,3385
LT,2018-03-21,09:40:00,1307.75,1308.00,1307.00,1307.95,3586
LT,2018-03-21,09:41:00,1308.00,1308.45,1307.55,1307.95,5493
LT,2018-03-21,09:42:00,1307.95,1308.25,1307.85,1308.00,4393
LT,2018-03-21,09:43:00,1307.85,1308.45,1307.85,1308.40,3050
LT,2018-03-21,09:44:00,1308.40,1308.75,1308.30,1308.50,6012
LT,2018-03-21,09:45:00,1308.70,1308.95,1308.05,1308.05,4414
LT,2018-03-21,09:46:00,1308.65,1308.90,1308.15,1308.15,3260
LT,2018-03-21,09:47:00,1308.65,1308.65,1307.40,1307.50,4822
LT,2018-03-21,09:48:00,1307.30,1308.20,1307.30,1308.20,2003
LT,2018-03-21,09:49:00,1308.30,1308.85,1308.30,1308.50,4881
LT,2018-03-21,09:50:00,1308.70,1309.00,1307.70,1308.75,12280
LT,2018-03-21,09:51:00,1308.50,1308.75,1308.50,1308.75,5569
LT,2018-03-21,09:52:00,1308.75,1308.80,1308.70,1308.70,4962
LT,2018-03-21,09:53:00,1308.75,1309.40,1308.70,1308.70,6122
LT,2018-03-21,09:54:00,1308.70,1308.70,1308.30,1308.65,4366
LT,2018-03-21,09:55:00,1308.65,1308.90,1308.50,1308.50,11101
LT,2018-03-21,09:56:00,1308.70,1308.75,1308.00,1308.65,8824
LT,2018-03-21,09:57:00,1308.65,1308.75,1308.00,1308.45,3026
LT,2018-03-21,09:58:00,1308.45,1308.45,1307.85,1307.95,5861
LT,2018-03-21,09:59:00,1308.35,1308.40,1307.95,1308.00,3870
