symbol,date,time,open,high,low,close,volume
NIFTY,2018-03-21,09:15:00,10181.95,10181.95,10181.95,10181.95,0
NIFTY,2018-03-21,09:16:00,10179.10,10185.00,10178.35,10180.60,0
NIFTY,2018-03-21,09:17:00,10181.85,10185.85,10181.20,10185.45,0
NIFTY,2018-03-21,09:18:00,10184.70,10191.10,10184.50,10190.65,0
NIFTY,2018-03-21,09:19:00,10191.25,10193.60,10185.35,10188.35,0
NIFTY,2018-03-21,09:20:00,10188.75,10194.75,10188.40,10194.65,0
NIFTY,2018-03-21,09:21:00,10194.65,10196.05,10191.00,10191.00,0
NIFTY,2018-03-21,09:22:00,10191.45,10194.25,10186.25,10187.00,0
NIFTY,2018-03-21,09:23:00,10188.00,10191.00,10187.65,10190.95,0
NIFTY,2018-03-21,09:24:00,10191.25,10195.35,10191.25,10195.35,0
NIFTY,2018-03-21,09:25:00,10195.50,10195.50,10190.85,10193.55,0
NIFTY,2018-03-21,09:26:00,10193.75,10194.60,10187.45,10187.65,0
NIFTY,2018-03-21,09:27:00,10187.60,10189.00,10186.10,10186.30,0
NIFTY,2018-03-21,09:28:00,10186.20,10187.40,10184.15,10186.15,0
NIFTY,2018-03-21,09:29:00,10186.10,10192.25,10186.10,10190.40,0
NIFTY,2018-03-21,09:30:00,10190.10,10190.95,10189.00,10190.10,0
NIFTY,2018-03-21,09:31:00,10189.65,10189.65,10186.40,10186.50,0
NIFTY,2018-03-21,09:32:00,10186.95,10187.25,10183.85,10183.85,0
NIFTY,2018-03-21,09:33:00,10183.65,10185.20,10180.60,10185.20,0
NIFTY,2018-03-21,09:34:00,10185.55,10190.65,10185.55,10190.65,0
NIFTY,2018-03-21,09:35:00,10191.00,10193.35,10190.50,10192.15,0
NIFTY,2018-03-21,09:36:00,10192.10,10195.05,10191.65,10192.40,0
NIFTY,2018-03-21,09:37:00,10192.00,10192.65,10189.80,10190.00,0
NIFTY,2018-03-21,09:38:00,10190.25,10190.25,10185.05,10185.15,0
NIFTY,2018-03-21,09:39:00,10185.05,10187.45,10185.05,10185.65,0
NIFTY,2018-03-21,09:40:00,10185.75,10186.85,10183.55,10183.85,0
NIFTY,2018-03-21,09:41:00,10184.30,10187.00,10180.95,10187.00,0
NIFTY,2018-03-21,09:42:00,10187.40,10189.55,10186.50,10189.20,0
NIFTY,2018-03-21,09:43:00,10189.45,10190.65,10187.30,10188.05,0
NIFTY,2018-03-21,09:44:00,10188.00,10193.05,10187.80,10192.30,0
NIFTY,2018-03-21,09:45:00,10192.20,10194.65,10190.80,10191.30,0
NIFTY,2018-03-21,09:46:00,10191.80,10191.85,10187.15,10187.85,0
NIFTY,2018-03-21,09:47:00,10188.35,10188.85,10184.15,10186.50,0
NIFTY,2018-03-21,09:48:00,10186.50,10188.15,10184.25,10188.15,0
NIFTY,2018-03-21,09:49:00,10187.85,10189.20,10186.25,10188.30,0
NIFTY,2018-03-21,09:50:00,10188.60,10191.90,10188.45,10191.70,0
NIFTY,2018-03-21,09:51:00,10191.55,10191.55,10189.20,10190.05,0
