symbol,date,time,open,high,low,close,volume
RELIANCE,2018-03-21,09:15:00,895.00,895.00,895.00,895.00,1234
RELIANCE,2018-03-21,09:16:00,894.50,896.50,894.25,896.25,99194
RELIANCE,2018-03-21,09:17:00,896.40,899.05,896.20,899.00,65691
RELIANCE,2018-03-21,09:18:00,899.00,899.55,898.55,898.60,39013
RELIANCE,2018-03-21,09:19:00,898.90,898.95,897.50,897.95,36483
RELIANCE,2018-03-21,09:20:00,898.10,898.35,898.00,898.00,28231
RELIANCE,2018-03-21,09:21:00,898.10,898.85,898.10,898.55,28048
RELIANCE,2018-03-21,09:22:00,898.75,899.00,898.00,898.00,29709
RELIANCE,2018-03-21,09:23:00,897.85,898.20,897.80,897.95,26333
RELIANCE,2018-03-21,09:24:00,898.00,898.95,898.00,898.95,45077
RELIANCE,2018-03-21,09:25:00,898.95,898.95,898.10,898.90,40906
RELIANCE,2018-03-21,09:26:00,898.95,899.40,898.95,899.40,54488
RELIANCE,2018-03-21,09:27:00,899.40,899.95,899.20,899.20,47700
RELIANCE,2018-03-21,09:28:00,899.20,899.45,896.05,896.90,43926
RELIANCE,2018-03-21,09:29:00,897.35,897.85,897.00,897.35,11924
RELIANCE,2018-03-21,09:30:00,897.05,897.50,896.55,896.90,19610
RELIANCE,2018-03-21,09:31:00,896.90,896.90,896.25,896.35,12987
RELIANCE,2018-03-21,09:32:00,896.35,896.35,895.25,895.45,14985
RELIANCE,2018-03-21,09:33:00,895.45,895.90,895.35,895.90,13211
RELIANCE,2018-03-21,09:34:00,895.95,896.90,895.90,896.70,10874
RELIANCE,2018-03-21,09:35:00,896.90,897.90,896.70,897.75,17315
RELIANCE,2018-03-21,09:36:00,897.90,898.00,896.35,896.40,30750
RELIANCE,2018-03-21,09:37:00,896.70,896.70,896.00,896.15,21995
RELIANCE,2018-03-21,09:38:00,896.30,896.30,895.40,895.75,19743
RELIANCE,2018-03-21,09:39:00,895.80,896.50,895.65,896.30,14088
RELIANCE,2018-03-21,09:40:00,896.30,896.75,896.00,896.45,14584
RELIANCE,2018-03-21,09:41:00,896.45,896.45,895.55,896.10,14217
RELIANCE,2018-03-21,09:42:00,896.15,896.40,896.05,896.05,9128
RELIANCE,2018-03-21,09:43:00,896.10,896.45,896.05,896.25,12900
RELIANCE,2018-03-21,09:44:00,896.25,896.60,896.15,896.40,11770
RELIANCE,2018-03-21,09:45:00,896.40,896.65,896.25,896.25,7901
RELIANCE,2018-03-21,09:46:00,896.25,896.35,893.35,894.15,51049
RELIANCE,2018-03-21,09:47:00,894.15,894.75,893.95,894.75,19130
RELIANCE,2018-03-21,09:48:00,894.75,894.80,894.00,894.55,19480
RELIANCE,2018-03-21,09:49:00,894.75,894.80,894.15,894.25,14755
RELIANCE,2018-03-21,09:50:00,894.45,895.30,894.25,895.30,9398
RELIANCE,2018-03-21,09:51:00,895.20,895.20,894.65,894.90,16658
RELIANCE,2018-03-21,09:52:00,894.90,895.85,894.90,895.20,12473
RELIANCE,2018-03-21,09:53:00,895.45,895.90,895.45,895.75,6769
RELIANCE,2018-03-21,09:54:00,895.75,895.85,895.20,895.40,8565
RELIANCE,2018-03-21,09:55:00,895.20,895.90,895.20,895.70,30578
RELIANCE,2018-03-21,09:56:00,895.70,896.75,895.65,896.45,8856
RELIANCE,2018-03-21,09:57:00,896.70,896.80,896.50,896.80,11378
RELIANCE,2018-03-21,09:58:00,896.70,897.50,896.70,896.70,73653
RELIANCE,2018-03-21,09:59:00,896.70,896.80,896.15,896.45,13870
RELIANCE,2018-03-21,10:00:00,896.20,896.45,896.00,896.30,45216
RELIANCE,2018-03-21,10:01:00,896.25,896.60,895.75,896.50,21566
RELIANCE,2018-03-21,10:02:00,896.25,896.40,895.05,895.55,16040
RELIANCE,2018-03-21,10:03:00,895.30,897.00,895.30,896.50,31971
RELIANCE,2018-03-21,10:04:00,896.50,897.45,896.20,897.20,14127
RELIANCE,2018-03-21,10:05:00,897.45,897.55,897.05,897.30,14610
RELIANCE,2018-03-21,10:06:00,897.30,897.55,896.85,897.15,13269
RELIANCE,2018-03-21,10:07:00,896.85,897.40,896.15,896.20,29265
RELIANCE,2018-03-21,10:08:00,896.20,896.60,896.05,896.25,12079
RELIANCE,2018-03-21,10:09:00,896.60,897.00,896.45,897.00,12482
RELIANCE,2018-03-21,10:10:00,896.90,897.05,896.85,897.00,6501
RELIANCE,2018-03-21,10:11:00,897.05,897.20,896.85,896.85,15008
RELIANCE,2018-03-21,10:12:00,897.00,897.40,896.90,897.00,10777
RELIANCE,2018-03-21,10:13:00,897.15,897.90,897.10,897.30,22402
RELIANCE,2018-03-21,10:14:00,897.35,897.35,897.05,897.25,9010
RELIANCE,2018-03-21,10:15:00,897.35,897.40,897.20,897.20,6199
RELIANCE,2018-03-21,10:16:00,897.40,897.40,897.30,897.35,5991
RELIANCE,2018-03-21,10:17:00,897.40,897.60,897.30,897.40,14252
RELIANCE,2018-03-21,10:18:00,897.40,897.40,897.15,897.20,10075
RELIANCE,2018-03-21,10:19:00,897.20,897.20,896.80,896.80,8332
RELIANCE,2018-03-21,10:20:00,897.00,897.45,896.90,897.35,11926
RELIANCE,2018-03-21,10:21:00,897.20,898.20,897.20,897.50,42170
RELIANCE,2018-03-21,10:22:00,897.50,898.10,897.50,898.05,6972
RELIANCE,2018-03-21,10:23:00,898.05,898.40,898.00,898.20,6976
RELIANCE,2018-03-21,10:24:00,898.25,899.00,898.20,898.70,35993
RELIANCE,2018-03-21,10:25:00,898.80,898.80,898.40,898.65,12605
RELIANCE,2018-03-21,10:26:00,898.60,898.60,897.35,897.95,21850
RELIANCE,2018-03-21,10:27:00,897.85,898.00,897.55,897.65,5821
RELIANCE,2018-03-21,10:28:00,897.60,897.80,897.55,897.55,4312
RELIANCE,2018-03-21,10:29:00,897.50,897.65,897.00,897.20,17308
RELIANCE,2018-03-21,10:30:00,897.30,897.45,897.20,897.45,6770
RELIANCE,2018-03-21,10:31:00,897.45,897.50,897.20,897.40,7116
RELIANCE,2018-03-21,10:32:00,897.35,897.35,897.00,897.10,6393
RELIANCE,2018-03-21,10:33:00,897.00,897.05,896.40,896.60,18377
RELIANCE,2018-03-21,10:34:00,896.85,896.95,896.55,896.90,5874
RELIANCE,2018-03-21,10:35:00,896.85,897.15,896.70,897.10,13117
RELIANCE,2018-03-21,10:36:00,897.10,897.20,897.00,897.15,20699
RELIANCE,2018-03-21,10:37:00,897.15,897.90,897.05,897.65,26672
RELIANCE,2018-03-21,10:38:00,897.75,897.95,897.65,897.85,8979
RELIANCE,2018-03-21,10:39:00,897.90,897.90,897.50,897.80,7036
RELIANCE,2018-03-21,10:40:00,897.80,897.95,897.65,897.70,15034
RELIANCE,2018-03-21,10:41:00,897.70,897.80,897.35,897.55,5039
