symbol,date,time,open,high,low,close,volume
SBIN,2018-03-21,09:15:00,251.75,251.75,251.75,251.75,3425
SBIN,2018-03-21,09:16:00,251.55,252.30,251.40,252.00,389470
SBIN,2018-03-21,09:17:00,252.10,252.20,251.85,251.95,187952
SBIN,2018-03-21,09:18:00,251.75,252.45,251.75,252.45,210924
SBIN,2018-03-21,09:19:00,252.40,252.50,252.15,252.25,101204
SBIN,2018-03-21,09:20:00,252.25,253.20,252.25,253.10,160307
SBIN,2018-03-21,09:21:00,252.95,253.10,252.85,253.10,172608
SBIN,2018-03-21,09:22:00,253.05,253.60,252.90,253.30,174031
SBIN,2018-03-21,09:23:00,253.30,253.45,253.05,253.05,102924
SBIN,2018-03-21,09:24:00,253.10,253.30,252.90,253.15,116008
SBIN,2018-03-21,09:25:00,253.15,253.25,252.90,253.25,128542
SBIN,2018-03-21,09:26:00,253.20,253.25,252.90,253.10,94881
SBIN,2018-03-21,09:27:00,253.05,253.05,252.80,252.85,40234
SBIN,2018-03-21,09:28:00,252.90,252.95,252.65,252.70,68980
SBIN,2018-03-21,09:29:00,252.75,253.15,252.65,253.00,88177
SBIN,2018-03-21,09:30:00,253.00,253.00,252.80,253.00,62633
SBIN,2018-03-21,09:31:00,252.85,252.85,252.55,252.70,78667
SBIN,2018-03-21,09:32:00,252.60,252.75,252.50,252.65,65211
SBIN,2018-03-21,09:33:00,252.65,252.80,252.25,252.80,84700
SBIN,2018-03-21,09:34:00,252.80,253.15,252.75,253.15,80720
SBIN,2018-03-21,09:35:00,253.20,253.25,252.80,252.80,104350
SBIN,2018-03-21,09:36:00,252.95,253.10,252.70,253.00,34518
SBIN,2018-03-21,09:37:00,252.90,253.00,252.70,252.80,27625
SBIN,2018-03-21,09:38:00,252.80,252.95,252.75,252.80,69547
SBIN,2018-03-21,09:39:00,252.75,253.00,252.60,252.60,59635
SBIN,2018-03-21,09:40:00,252.65,252.90,252.60,252.75,96651
SBIN,2018-03-21,09:41:00,252.75,252.95,252.60,252.95,42995
SBIN,2018-03-21,09:42:00,252.95,252.95,252.70,252.90,18329
SBIN,2018-03-21,09:43:00,252.85,252.95,252.80,252.80,29950
SBIN,2018-03-21,09:44:00,252.85,253.15,252.80,253.05,85119
SBIN,2018-03-21,09:45:00,253.10,253.15,252.70,252.75,47244
SBIN,2018-03-21,09:46:00,252.80,252.95,252.80,252.80,23245
SBIN,2018-03-21,09:47:00,252.80,252.90,252.55,252.70,66876
