symbol,date,time,open,high,low,close,volume
SUNPHARMA,2018-03-21,09:16:00,513.55,514.30,512.70,513.20,66609
SUNPHARMA,2018-03-21,09:17:00,513.00,513.65,512.10,512.45,29700
SUNPHARMA,2018-03-21,09:18:00,512.45,514.05,512.10,514.05,31208
SUNPHARMA,2018-03-21,09:19:00,514.20,514.50,514.00,514.35,22245
SUNPHARMA,2018-03-21,09:20:00,514.30,515.55,514.30,515.10,35084
SUNPHARMA,2018-03-21,09:21:00,515.30,515.50,514.50,514.55,32242
SUNPHARMA,2018-03-21,09:22:00,514.55,515.00,514.25,514.55,27993
SUNPHARMA,2018-03-21,09:23:00,514.65,514.95,514.50,514.70,16145
SUNPHARMA,2018-03-21,09:24:00,514.55,515.10,514.50,515.00,20642
SUNPHARMA,2018-03-21,09:25:00,514.85,514.85,514.25,514.80,25138
SUNPHARMA,2018-03-21,09:26:00,514.80,514.95,514.15,514.15,12809
SUNPHARMA,2018-03-21,09:27:00,514.15,514.50,513.50,513.60,34104
SUNPHARMA,2018-03-21,09:28:00,513.65,513.70,513.00,513.15,17142
SUNPHARMA,2018-03-21,09:29:00,513.15,513.40,512.55,513.00,20930
SUNPHARMA,2018-03-21,09:30:00,512.95,513.80,512.70,513.40,17734
SUNPHARMA,2018-03-21,09:31:00,513.45,514.00,513.45,513.80,18136
SUNPHARMA,2018-03-21,09:32:00,513.80,513.95,513.25,513.45,16583
SUNPHARMA,2018-03-21,09:33:00,513.10,513.50,512.80,513.15,17603
SUNPHARMA,2018-03-21,09:34:00,513.35,514.10,513.30,514.05,16301
SUNPHARMA,2018-03-21,09:35:00,514.10,514.10,513.50,513.70,9048
SUNPHARMA,2018-03-21,09:36:00,513.70,513.95,513.50,513.70,8184
SUNPHARMA,2018-03-21,09:37:00,513.80,513.80,513.15,513.20,9180
SUNPHARMA,2018-03-21,09:38:00,513.20,513.20,512.50,512.70,17210
SUNPHARMA,2018-03-21,09:39:00,512.70,512.90,512.50,512.50,8484
SUNPHARMA,2018-03-21,09:40:00,512.70,513.00,512.55,512.85,11995
SUNPHARMA,2018-03-21,09:41:00,512.85,513.00,512.50,512.95,8945
SUNPHARMA,2018-03-21,09:42:00,512.80,513.10,512.75,513.05,7692
SUNPHARMA,2018-03-21,09:43:00,513.10,513.80,513.00,513.40,7501
SUNPHARMA,2018-03-21,09:44:00,513.80,514.35,513.80,514.25,10032
SUNPHARMA,2018-03-21,09:45:00,514.30,514.40,514.20,514.35,11022
SUNPHARMA,2018-03-21,09:46:00,514.40,514.60,513.85,513.90,13337
SUNPHARMA,2018-03-21,09:47:00,513.90,514.00,513.50,513.55,6977
SUNPHARMA,2018-03-21,09:48:00,513.55,513.90,513.15,513.20,9511
SUNPHARMA,2018-03-21,09:49:00,513.20,513.35,512.60,512.80,10416
SUNPHARMA,2018-03-21,09:50:00,512.80,512.95,512.60,512.80,6738
