symbol,date,time,open,high,low,close,volume
TATAMOTORS,2018-03-21,09:15:00,339.85,339.85,339.85,339.85,428
TATAMOTORS,2018-03-21,09:16:00,339.80,340.30,339.00,339.10,120739
TATAMOTORS,2018-03-21,09:17:00,339.00,339.60,338.30,338.65,52303
TATAMOTORS,2018-03-21,09:18:00,338.50,339.20,338.35,338.90,56777
TATAMOTORS,2018-03-21,09:19:00,338.95,339.80,338.95,339.50,35076
TATAMOTORS,2018-03-21,09:20:00,339.50,339.80,339.10,339.75,40959
TATAMOTORS,2018-03-21,09:21:00,339.75,340.00,339.55,340.00,27756
TATAMOTORS,2018-03-21,09:22:00,340.00,340.60,339.60,340.00,38003
TATAMOTORS,2018-03-21,09:23:00,340.00,340.10,339.80,340.00,21556
TATAMOTORS,2018-03-21,09:24:00,340.00,340.05,339.80,339.90,23109
TATAMOTORS,2018-03-21,09:25:00,339.90,339.90,339.50,339.70,15749
TATAMOTORS,2018-03-21,09:26:00,339.80,339.80,338.50,338.65,33688
TATAMOTORS,2018-03-21,09:27:00,338.60,339.30,338.60,338.85,20353
TATAMOTORS,2018-03-21,09:28:00,339.00,339.20,338.90,339.20,13284
TATAMOTORS,2018-03-21,09:29:00,339.10,339.75,339.05,339.45,26006
TATAMOTORS,2018-03-21,09:30:00,339.45,339.65,339.20,339.45,19478
TATAMOTORS,2018-03-21,09:31:00,339.40,339.50,339.20,339.20,15570
TATAMOTORS,2018-03-21,09:32:00,339.10,339.25,339.05,339.05,12377
TATAMOTORS,2018-03-21,09:33:00,339.05,339.25,339.05,339.25,14821
TATAMOTORS,2018-03-21,09:34:00,339.25,339.40,339.00,339.35,11904
TATAMOTORS,2018-03-21,09:35:00,339.40,339.65,339.40,339.60,25326
TATAMOTORS,2018-03-21,09:36:00,339.70,339.85,339.65,339.70,12298
TATAMOTORS,2018-03-21,09:37:00,339.75,339.75,339.35,339.55,16815
TATAMOTORS,2018-03-21,09:38:00,339.55,339.70,339.25,339.45,7322
TATAMOTORS,2018-03-21,09:39:00,339.45,339.50,339.10,339.25,11835
TATAMOTORS,2018-03-21,09:40:00,339.30,339.45,339.05,339.25,14061
TATAMOTORS,2018-03-21,09:41:00,339.30,339.30,338.50,339.10,52510
TATAMOTORS,2018-03-21,09:42:00,339.00,339.20,338.85,339.10,4277
TATAMOTORS,2018-03-21,09:43:00,339.05,339.10,338.80,338.80,8407
TATAMOTORS,2018-03-21,09:44:00,338.85,339.05,338.80,339.05,21364
TATAMOTORS,2018-03-21,09:45:00,338.95,339.20,338.85,339.05,11587
TATAMOTORS,2018-03-21,09:46:00,338.90,339.00,338.55,338.70,16262
