symbol,date,time,open,high,low,close,volume
TATAMTRDVR,2018-03-21,09:16:00,190.75,191.45,190.75,191.40,21476
TATAMTRDVR,2018-03-21,09:17:00,191.30,191.45,190.90,191.00,6921
TATAMTRDVR,2018-03-21,09:18:00,190.80,191.20,190.80,190.90,7151
TATAMTRDVR,2018-03-21,09:19:00,191.00,191.25,191.00,191.15,7671
TATAMTRDVR,2018-03-21,09:20:00,191.15,191.15,190.85,191.00,6029
TATAMTRDVR,2018-03-21,09:21:00,190.90,191.05,190.90,191.00,6114
TATAMTRDVR,2018-03-21,09:22:00,191.15,191.40,190.90,190.90,11624
TATAMTRDVR,2018-03-21,09:23:00,191.10,191.20,191.10,191.15,3721
TATAMTRDVR,2018-03-21,09:24:00,191.15,191.20,191.05,191.05,2471
TATAMTRDVR,2018-03-21,09:25:00,191.15,191.15,190.95,190.95,2570
TATAMTRDVR,2018-03-21,09:26:00,191.05,191.05,190.80,190.90,4617
TATAMTRDVR,2018-03-21,09:27:00,190.80,191.00,190.80,190.85,5654
TATAMTRDVR,2018-03-21,09:28:00,190.90,190.95,190.75,190.75,4610
TATAMTRDVR,2018-03-21,09:29:00,190.95,191.35,190.95,191.25,5107
TATAMTRDVR,2018-03-21,09:30:00,191.30,191.40,191.25,191.40,1750
TATAMTRDVR,2018-03-21,09:31:00,191.15,191.30,191.15,191.15,1172
TATAMTRDVR,2018-03-21,09:32:00,191.10,191.20,191.05,191.05,821
TATAMTRDVR,2018-03-21,09:33:00,191.20,191.30,191.10,191.30,1448
TATAMTRDVR,2018-03-21,09:34:00,191.15,191.30,191.10,191.20,743
TATAMTRDVR,2018-03-21,09:35:00,191.25,191.30,191.20,191.30,608
TATAMTRDVR,2018-03-21,09:36:00,191.30,191.45,191.20,191.35,3836
TATAMTRDVR,2018-03-21,09:37:00,191.25,191.25,191.05,191.20,1773
TATAMTRDVR,2018-03-21,09:38:00,191.15,191.15,191.05,191.05,3244
TATAMTRDVR,2018-03-21,09:39:00,191.00,191.00,190.85,191.00,2270
TATAMTRDVR,2018-03-21,09:40:00,191.00,191.10,191.00,191.05,2281
TATAMTRDVR,2018-03-21,09:41:00,191.10,191.10,190.85,191.05,860
TATAMTRDVR,2018-03-21,09:42:00,191.05,191.05,190.85,190.95,610
TATAMTRDVR,2018-03-21,09:43:00,190.90,190.90,190.80,190.90,316
TATAMTRDVR,2018-03-21,09:44:00,190.95,191.05,190.90,191.05,476
TATAMTRDVR,2018-03-21,09:45:00,191.10,191.25,190.95,191.00,5985
TATAMTRDVR,2018-03-21,09:46:00,190.90,191.00,190.85,190.90,1370
TATAMTRDVR,2018-03-21,09:47:00,190.90,191.00,190.40,190.70,3150
TATAMTRDVR,2018-03-21,09:48:00,190.65,190.70,190.50,190.70,2415
TATAMTRDVR,2018-03-21,09:49:00,190.70,190.70,190.60,190.60,5915
TATAMTRDVR,2018-03-21,09:50:00,190.70,190.80,190.70,190.80,3123
TATAMTRDVR,2018-03-21,09:51:00,190.80,191.05,190.80,191.00,6895
TATAMTRDVR,2018-03-21,09:52:00,190.75,190.85,190.75,190.85,2691
TATAMTRDVR,2018-03-21,09:53:00,190.85,190.85,190.75,190.75,1009
TATAMTRDVR,2018-03-21,09:54:00,190.70,190.80,190.70,190.80,1918
TATAMTRDVR,2018-03-21,09:55:00,190.80,191.10,190.80,191.10,3342
TATAMTRDVR,2018-03-21,09:56:00,191.05,191.15,191.05,191.15,11930
TATAMTRDVR,2018-03-21,09:57:00,191.15,191.25,191.10,191.20,4438
TATAMTRDVR,2018-03-21,09:58:00,191.20,191.20,191.05,191.05,4320
TATAMTRDVR,2018-03-21,09:59:00,191.00,191.00,190.85,190.90,2815
TATAMTRDVR,2018-03-21,10:00:00,191.00,191.05,191.00,191.05,299
TATAMTRDVR,2018-03-21,10:01:00,191.05,191.20,191.05,191.15,1348
TATAMTRDVR,2018-03-21,10:02:00,191.15,191.30,191.10,191.30,3441
TATAMTRDVR,2018-03-21,10:03:00,191.30,191.45,191.15,191.15,6178
TATAMTRDVR,2018-03-21,10:04:00,191.25,191.25,191.10,191.10,188
TATAMTRDVR,2018-03-21,10:05:00,191.10,191.10,191.00,191.00,667
TATAMTRDVR,2018-03-21,10:06:00,191.10,191.20,190.70,190.70,4869
TATAMTRDVR,2018-03-21,10:07:00,190.85,191.05,190.70,190.75,15457
TATAMTRDVR,2018-03-21,10:08:00,190.70,191.05,190.70,191.00,3414
TATAMTRDVR,2018-03-21,10:09:00,190.80,191.20,190.80,191.20,914
TATAMTRDVR,2018-03-21,10:10:00,191.00,191.30,191.00,191.30,421
TATAMTRDVR,2018-03-21,10:11:00,191.35,191.40,191.30,191.35,1445
TATAMTRDVR,2018-03-21,10:12:00,191.30,191.60,191.30,191.60,2329
TATAMTRDVR,2018-03-21,10:13:00,191.60,192.00,191.60,192.00,7223
TATAMTRDVR,2018-03-21,10:14:00,191.90,191.95,191.65,191.85,3597
TATAMTRDVR,2018-03-21,10:15:00,191.85,191.95,191.75,191.75,4251
TATAMTRDVR,2018-03-21,10:16:00,191.90,191.90,191.75,191.80,1326
TATAMTRDVR,2018-03-21,10:17:00,191.80,191.90,191.75,191.75,3621
TATAMTRDVR,2018-03-21,10:18:00,191.75,191.85,191.70,191.80,942
TATAMTRDVR,2018-03-21,10:19:00,191.80,191.85,191.70,191.70,1093
TATAMTRDVR,2018-03-21,10:20:00,191.75,192.00,191.70,191.95,1610
TATAMTRDVR,2018-03-21,10:21:00,192.00,192.00,191.85,191.85,1732
TATAMTRDVR,2018-03-21,10:22:00,191.95,191.95,191.85,191.95,699
TATAMTRDVR,2018-03-21,10:23:00,191.95,191.95,191.75,191.80,2071
TATAMTRDVR,2018-03-21,10:24:00,191.75,191.75,191.60,191.65,1323
TATAMTRDVR,2018-03-21,10:25:00,191.75,191.75,191.60,191.60,889
TATAMTRDVR,2018-03-21,10:26:00,191.70,191.70,191.55,191.65,426
TATAMTRDVR,2018-03-21,10:27:00,191.65,191.70,191.45,191.55,1164
TATAMTRDVR,2018-03-21,10:28:00,191.45,191.45,191.20,191.45,860
TATAMTRDVR,2018-03-21,10:29:00,191.45,191.45,191.30,191.40,739
TATAMTRDVR,2018-03-21,10:30:00,191.40,191.45,191.40,191.45,7488
TATAMTRDVR,2018-03-21,10:31:00,191.60,191.60,191.50,191.50,2585
TATAMTRDVR,2018-03-21,10:32:00,191.40,191.50,191.30,191.30,937
TATAMTRDVR,2018-03-21,10:33:00,191.35,191.55,191.25,191.40,1424
TATAMTRDVR,2018-03-21,10:34:00,191.50,191.50,191.40,191.45,706
TATAMTRDVR,2018-03-21,10:35:00,191.40,191.50,191.15,191.25,3393
TATAMTRDVR,2018-03-21,10:36:00,191.15,191.25,191.05,191.25,400
TATAMTRDVR,2018-03-21,10:37:00,191.15,191.25,191.15,191.20,352
TATAMTRDVR,2018-03-21,10:38:00,191.20,191.25,191.20,191.25,233
TATAMTRDVR,2018-03-21,10:39:00,191.30,191.40,191.30,191.35,850
TATAMTRDVR,2018-03-21,10:40:00,191.30,191.35,191.20,191.30,397
TATAMTRDVR,2018-03-21,10:41:00,191.25,191.35,191.20,191.25,1298
TATAMTRDVR,2018-03-21,10:42:00,191.20,191.25,191.20,191.25,856
TATAMTRDVR,2018-03-21,10:43:00,191.25,191.25,191.20,191.25,955
TATAMTRDVR,2018-03-21,10:44:00,191.25,191.25,191.15,191.15,2842
TATAMTRDVR,2018-03-21,10:45:00,191.15,191.30,191.15,191.30,3727
TATAMTRDVR,2018-03-21,10:46:00,191.30,191.35,191.25,191.35,419
TATAMTRDVR,2018-03-21,10:47:00,191.35,191.35,191.35,191.35,1987
TATAMTRDVR,2018-03-21,10:48:00,191.40,191.55,191.40,191.40,895
TATAMTRDVR,2018-03-21,10:49:00,191.45,191.50,191.40,191.40,617
TATAMTRDVR,2018-03-21,10:50:00,191.40,191.40,191.40,191.40,112
TATAMTRDVR,2018-03-21,10:51:00,191.40,191.45,191.40,191.45,1327
TATAMTRDVR,2018-03-21,10:52:00,191.45,191.50,191.40,191.50,1621
TATAMTRDVR,2018-03-21,10:53:00,191.45,191.50,191.45,191.45,931
TATAMTRDVR,2018-03-21,10:54:00,191.45,191.45,191.40,191.45,146
TATAMTRDVR,2018-03-21,10:55:00,191.40,191.50,191.40,191.50,335
TATAMTRDVR,2018-03-21,10:56:00,191.45,191.50,191.35,191.35,1501
TATAMTRDVR,2018-03-21,10:57:00,191.35,191.45,191.35,191.45,259
TATAMTRDVR,2018-03-21,10:58:00,191.45,191.45,191.40,191.40,3166
TATAMTRDVR,2018-03-21,10:59:00,191.40,191.45,191.40,191.40,376
TATAMTRDVR,2018-03-21,11:00:00,191.40,191.50,191.40,191.50,137
TATAMTRDVR,2018-03-21,11:01:00,191.45,191.50,191.40,191.50,335
TATAMTRDVR,2018-03-21,11:02:00,191.50,191.55,191.40,191.55,311
TATAMTRDVR,2018-03-21,11:03:00,191.50,191.55,191.50,191.55,1057
TATAMTRDVR,2018-03-21,11:04:00,191.60,191.60,191.55,191.60,324
TATAMTRDVR,2018-03-21,11:05:00,191.60,191.60,191.55,191.55,484
TATAMTRDVR,2018-03-21,11:06:00,191.55,191.60,191.50,191.60,3482
TATAMTRDVR,2018-03-21,11:07:00,191.55,191.60,191.50,191.60,2708
TATAMTRDVR,2018-03-21,11:08:00,191.50,191.65,191.50,191.65,3425
TATAMTRDVR,2018-03-21,11:09:00,191.65,191.65,191.55,191.60,463
TATAMTRDVR,2018-03-21,11:10:00,191.60,191.75,191.60,191.75,810
TATAMTRDVR,2018-03-21,11:11:00,191.75,191.75,191.65,191.65,896
TATAMTRDVR,2018-03-21,11:12:00,191.65,191.65,191.55,191.65,160
TATAMTRDVR,2018-03-21,11:13:00,191.60,191.65,191.55,191.65,518
TATAMTRDVR,2018-03-21,11:14:00,191.65,191.65,191.45,191.50,1047
TATAMTRDVR,2018-03-21,11:15:00,191.45,191.50,191.35,191.40,749
TATAMTRDVR,2018-03-21,11:16:00,191.45,191.50,191.40,191.40,1481
TATAMTRDVR,2018-03-21,11:17:00,191.40,191.55,191.40,191.55,402
TATAMTRDVR,2018-03-21,11:18:00,191.50,191.55,191.35,191.35,583
TATAMTRDVR,2018-03-21,11:19:00,191.40,191.50,191.40,191.50,8504
TATAMTRDVR,2018-03-21,11:20:00,191.50,191.50,191.25,191.25,2072
TATAMTRDVR,2018-03-21,11:21:00,191.25,191.30,191.25,191.25,240
TATAMTRDVR,2018-03-21,11:22:00,191.25,191.30,191.20,191.25,7154
TATAMTRDVR,2018-03-21,11:23:00,191.25,191.25,191.20,191.20,1343
TATAMTRDVR,2018-03-21,11:24:00,191.15,191.20,191.00,191.00,3071
TATAMTRDVR,2018-03-21,11:25:00,191.00,191.05,191.00,191.00,2042
TATAMTRDVR,2018-03-21,11:26:00,191.00,191.10,191.00,191.00,4746
TATAMTRDVR,2018-03-21,11:27:00,190.95,191.00,190.85,190.95,1233
TATAMTRDVR,2018-03-21,11:28:00,190.90,190.95,190.45,190.50,9101
TATAMTRDVR,2018-03-21,11:29:00,190.60,190.90,190.60,190.80,936
TATAMTRDVR,2018-03-21,11:30:00,190.90,190.90,190.80,190.90,2467
TATAMTRDVR,2018-03-21,11:31:00,190.85,190.85,190.65,190.65,362
TATAMTRDVR,2018-03-21,11:32:00,190.70,190.85,190.55,190.85,5208
TATAMTRDVR,2018-03-21,11:33:00,190.85,191.00,190.85,190.95,496
TATAMTRDVR,2018-03-21,11:34:00,190.95,191.00,190.85,190.85,1332
TATAMTRDVR,2018-03-21,11:35:00,190.90,190.95,190.90,190.95,161
TATAMTRDVR,2018-03-21,11:36:00,190.90,190.90,190.80,190.80,206
TATAMTRDVR,2018-03-21,11:37:00,190.80,190.90,190.80,190.80,320
TATAMTRDVR,2018-03-21,11:38:00,190.85,190.85,190.70,190.70,418
TATAMTRDVR,2018-03-21,11:39:00,190.75,190.80,190.70,190.70,335
TATAMTRDVR,2018-03-21,11:40:00,190.70,190.70,190.40,190.55,768
TATAMTRDVR,2018-03-21,11:41:00,190.70,190.70,190.55,190.65,352
TATAMTRDVR,2018-03-21,11:42:00,190.60,190.70,190.55,190.65,1125
TATAMTRDVR,2018-03-21,11:43:00,190.60,190.65,190.60,190.65,396
TATAMTRDVR,2018-03-21,11:44:00,190.65,190.75,190.55,190.55,368
TATAMTRDVR,2018-03-21,11:45:00,190.55,190.65,190.55,190.65,478
TATAMTRDVR,2018-03-21,11:46:00,190.60,190.70,190.60,190.60,125
TATAMTRDVR,2018-03-21,11:47:00,190.70,190.70,190.55,190.70,2763
TATAMTRDVR,2018-03-21,11:48:00,190.60,190.60,190.55,190.55,1154
TATAMTRDVR,2018-03-21,11:49:00,190.55,190.60,190.50,190.60,649
TATAMTRDVR,2018-03-21,11:50:00,190.65,190.70,190.60,190.65,113
TATAMTRDVR,2018-03-21,11:51:00,190.65,190.65,190.45,190.60,956
TATAMTRDVR,2018-03-21,11:52:00,190.55,190.60,190.05,190.05,6449
TATAMTRDVR,2018-03-21,11:53:00,190.15,190.30,190.05,190.30,2322
TATAMTRDVR,2018-03-21,11:54:00,190.30,190.35,190.10,190.15,1693
TATAMTRDVR,2018-03-21,11:55:00,190.15,190.30,190.10,190.30,464
TATAMTRDVR,2018-03-21,11:56:00,190.05,190.25,190.05,190.15,390
TATAMTRDVR,2018-03-21,11:57:00,190.15,190.15,190.00,190.00,2180
TATAMTRDVR,2018-03-21,11:58:00,190.00,190.10,190.00,190.05,279
TATAMTRDVR,2018-03-21,11:59:00,190.05,190.10,190.05,190.10,459
TATAMTRDVR,2018-03-21,12:00:00,190.10,190.10,190.05,190.05,13141
