symbol,date,time,open,high,low,close,volume
TATAPOWER,2018-03-21,09:16:00,80.40,80.55,80.40,80.55,12955
TATAPOWER,2018-03-21,09:17:00,80.55,80.60,80.35,80.40,18583
TATAPOWER,2018-03-21,09:18:00,80.40,80.50,80.40,80.50,16323
TATAPOWER,2018-03-21,09:19:00,80.50,80.60,80.50,80.60,17506
TATAPOWER,2018-03-21,09:20:00,80.60,80.65,80.55,80.60,16024
TATAPOWER,2018-03-21,09:21:00,80.60,80.65,80.55,80.60,5487
TATAPOWER,2018-03-21,09:22:00,80.55,80.65,80.55,80.55,10517
TATAPOWER,2018-03-21,09:23:00,80.50,80.60,80.50,80.55,3215
TATAPOWER,2018-03-21,09:24:00,80.70,80.75,80.60,80.60,25489
TATAPOWER,2018-03-21,09:25:00,80.65,80.65,80.50,80.55,11360
TATAPOWER,2018-03-21,09:26:00,80.45,80.55,80.40,80.45,11408
TATAPOWER,2018-03-21,09:27:00,80.50,80.50,80.35,80.35,8692
TATAPOWER,2018-03-21,09:28:00,80.40,80.45,80.40,80.40,1025
TATAPOWER,2018-03-21,09:29:00,80.40,80.45,80.40,80.40,2972
TATAPOWER,2018-03-21,09:30:00,80.40,80.50,80.35,80.50,5792
TATAPOWER,2018-03-21,09:31:00,80.40,80.40,80.30,80.35,10927
TATAPOWER,2018-03-21,09:32:00,80.35,80.35,80.30,80.30,291
TATAPOWER,2018-03-21,09:33:00,80.15,80.15,80.00,80.05,138929
TATAPOWER,2018-03-21,09:34:00,80.00,80.20,79.95,80.20,25392
TATAPOWER,2018-03-21,09:35:00,80.15,80.20,80.15,80.20,7982
TATAPOWER,2018-03-21,09:36:00,80.20,80.25,80.15,80.15,6687
TATAPOWER,2018-03-21,09:37:00,80.15,80.20,80.10,80.15,9167
TATAPOWER,2018-03-21,09:38:00,80.10,80.15,80.05,80.10,4856
TATAPOWER,2018-03-21,09:39:00,80.10,80.15,80.10,80.10,1782
TATAPOWER,2018-03-21,09:40:00,80.10,80.15,80.05,80.05,36347
TATAPOWER,2018-03-21,09:41:00,80.05,80.10,79.95,80.10,46720
TATAPOWER,2018-03-21,09:42:00,80.10,80.15,80.00,80.00,1062781
TATAPOWER,2018-03-21,09:43:00,80.00,80.05,80.00,80.00,4984
TATAPOWER,2018-03-21,09:44:00,80.00,80.15,80.00,80.15,8844
TATAPOWER,2018-03-21,09:45:00,80.05,80.15,80.05,80.05,1845
TATAPOWER,2018-03-21,09:46:00,80.10,80.10,80.05,80.05,1289
TATAPOWER,2018-03-21,09:47:00,80.05,80.10,80.00,80.00,24356
TATAPOWER,2018-03-21,09:48:00,80.05,80.05,80.00,80.05,1233
TATAPOWER,2018-03-21,09:49:00,80.00,80.15,80.00,80.15,15197
