symbol,date,time,open,high,low,close,volume
TATASTEEL,2018-03-21,09:16:00,598.60,601.00,596.20,600.75,124530
TATASTEEL,2018-03-21,09:17:00,601.00,601.50,599.90,599.90,206205
TATASTEEL,2018-03-21,09:18:00,599.60,599.70,598.05,599.70,73622
TATASTEEL,2018-03-21,09:19:00,599.65,599.75,598.00,598.75,72504
TATASTEEL,2018-03-21,09:20:00,598.80,600.00,597.40,600.00,78096
TATASTEEL,2018-03-21,09:21:00,600.05,600.50,598.20,599.15,81960
TATASTEEL,2018-03-21,09:22:00,599.00,599.80,597.70,598.20,80895
TATASTEEL,2018-03-21,09:23:00,597.90,599.25,597.90,599.15,64691
TATASTEEL,2018-03-21,09:24:00,599.15,599.15,597.70,597.70,44318
TATASTEEL,2018-03-21,09:25:00,597.65,597.70,596.10,596.10,73497
TATASTEEL,2018-03-21,09:26:00,596.50,596.65,595.20,595.35,97532
TATASTEEL,2018-03-21,09:27:00,595.35,596.40,595.10,596.25,47173
TATASTEEL,2018-03-21,09:28:00,596.35,597.50,596.35,596.80,43766
TATASTEEL,2018-03-21,09:29:00,597.05,598.90,597.05,598.60,58012
TATASTEEL,2018-03-21,09:30:00,598.05,598.35,597.20,597.45,27190
TATASTEEL,2018-03-21,09:31:00,597.45,597.45,595.90,595.90,28313
TATASTEEL,2018-03-21,09:32:00,596.00,596.00,594.70,594.70,65286
TATASTEEL,2018-03-21,09:33:00,594.60,596.05,594.40,595.75,70585
TATASTEEL,2018-03-21,09:34:00,595.90,596.05,595.30,595.70,23320
TATASTEEL,2018-03-21,09:35:00,596.00,596.00,595.20,595.20,27980
TATASTEEL,2018-03-21,09:36:00,595.00,595.40,594.65,595.35,37770
TATASTEEL,2018-03-21,09:37:00,595.10,595.15,594.10,594.90,59310
TATASTEEL,2018-03-21,09:38:00,594.90,594.90,593.40,593.60,54171
TATASTEEL,2018-03-21,09:39:00,593.65,593.65,592.30,592.30,72454
TATASTEEL,2018-03-21,09:40:00,592.35,593.60,592.15,593.60,52439
TATASTEEL,2018-03-21,09:41:00,593.60,594.60,593.20,594.40,35786
TATASTEEL,2018-03-21,09:42:00,594.35,594.90,594.00,594.40,29599
TATASTEEL,2018-03-21,09:43:00,594.30,594.60,593.00,593.50,27781
TATASTEEL,2018-03-21,09:44:00,593.45,593.80,593.15,593.70,14868
TATASTEEL,2018-03-21,09:45:00,593.50,593.75,593.30,593.70,15085
TATASTEEL,2018-03-21,09:46:00,593.70,593.80,593.00,593.05,18817
TATASTEEL,2018-03-21,09:47:00,592.75,592.90,591.35,591.80,65322
TATASTEEL,2018-03-21,09:48:00,592.20,592.50,591.60,591.75,55504
TATASTEEL,2018-03-21,09:49:00,591.60,591.85,590.65,591.50,78258
TATASTEEL,2018-03-21,09:50:00,591.55,592.60,591.15,592.45,59463
TATASTEEL,2018-03-21,09:51:00,592.45,592.50,591.50,591.65,24598
TATASTEEL,2018-03-21,09:52:00,591.65,592.85,591.65,592.75,35766
TATASTEEL,2018-03-21,09:53:00,592.75,594.75,592.75,594.35,73198
TATASTEEL,2018-03-21,09:54:00,594.30,594.40,593.40,593.40,33163
TATASTEEL,2018-03-21,09:55:00,593.40,594.00,593.30,594.00,28305
TATASTEEL,2018-03-21,09:56:00,594.10,595.00,593.95,595.00,35847
TATASTEEL,2018-03-21,09:57:00,594.75,596.50,594.75,596.00,89826
TATASTEEL,2018-03-21,09:58:00,596.05,596.05,595.00,595.40,52111
TATASTEEL,2018-03-21,09:59:00,595.35,595.45,594.70,594.70,30007
TATASTEEL,2018-03-21,10:00:00,594.85,595.00,594.30,594.50,15593
TATASTEEL,2018-03-21,10:01:00,594.50,594.95,594.50,594.65,17746
TATASTEEL,2018-03-21,10:02:00,594.65,595.80,594.60,595.60,36272
TATASTEEL,2018-03-21,10:03:00,595.80,596.75,595.30,595.30,59095
TATASTEEL,2018-03-21,10:04:00,595.35,595.55,595.00,595.40,19937
TATASTEEL,2018-03-21,10:05:00,595.40,595.70,594.80,594.80,18959
TATASTEEL,2018-03-21,10:06:00,594.90,595.00,594.00,594.30,25352
TATASTEEL,2018-03-21,10:07:00,594.00,594.20,593.30,593.50,36685
TATASTEEL,2018-03-21,10:08:00,593.40,593.95,593.30,593.85,26932
TATASTEEL,2018-03-21,10:09:00,593.60,594.50,593.45,594.45,20102
TATASTEEL,2018-03-21,10:10:00,594.50,594.50,593.80,593.80,11614
TATASTEEL,2018-03-21,10:11:00,593.85,593.90,593.50,593.50,10579
TATASTEEL,2018-03-21,10:12:00,593.60,593.60,592.50,592.65,43942
TATASTEEL,2018-03-21,10:13:00,592.80,593.80,592.65,593.45,18975
TATASTEEL,2018-03-21,10:14:00,593.55,593.55,592.85,592.85,10914
TATASTEEL,2018-03-21,10:15:00,592.80,593.75,592.80,593.35,12400
TATASTEEL,2018-03-21,10:16:00,593.40,593.40,592.00,592.50,31847
TATASTEEL,2018-03-21,10:17:00,592.45,592.85,592.05,592.45,17983
TATASTEEL,2018-03-21,10:18:00,592.40,593.10,592.10,593.10,23479
TATASTEEL,2018-03-21,10:19:00,593.10,593.20,592.80,592.90,10362
TATASTEEL,2018-03-21,10:20:00,592.80,593.25,592.75,593.25,21694
TATASTEEL,2018-03-21,10:21:00,593.00,593.60,593.00,593.60,19719
TATASTEEL,2018-03-21,10:22:00,593.60,594.50,593.50,594.15,32184
TATASTEEL,2018-03-21,10:23:00,594.15,594.40,593.75,594.00,15109
TATASTEEL,2018-03-21,10:24:00,594.00,594.00,593.60,593.65,7111
TATASTEEL,2018-03-21,10:25:00,593.80,593.80,593.45,593.70,11436
TATASTEEL,2018-03-21,10:26:00,593.75,594.15,593.75,594.10,19278
TATASTEEL,2018-03-21,10:27:00,594.15,594.15,593.70,593.70,12877
TATASTEEL,2018-03-21,10:28:00,593.80,593.80,593.70,593.80,10059
TATASTEEL,2018-03-21,10:29:00,593.70,594.45,593.30,594.25,26260
TATASTEEL,2018-03-21,10:30:00,594.25,594.45,594.10,594.25,9739
TATASTEEL,2018-03-21,10:31:00,594.25,595.90,594.00,595.50,61731
TATASTEEL,2018-03-21,10:32:00,595.45,595.45,594.00,594.45,26939
TATASTEEL,2018-03-21,10:33:00,594.25,595.00,594.05,594.70,7933
TATASTEEL,2018-03-21,10:34:00,594.50,595.65,594.20,595.00,44253
TATASTEEL,2018-03-21,10:35:00,595.00,595.40,594.50,594.85,14051
TATASTEEL,2018-03-21,10:36:00,594.75,595.00,594.40,594.80,8526
TATASTEEL,2018-03-21,10:37:00,594.80,594.80,594.50,594.70,8541
TATASTEEL,2018-03-21,10:38:00,594.60,595.00,594.60,594.95,13379
TATASTEEL,2018-03-21,10:39:00,594.85,594.90,594.30,594.35,7699
TATASTEEL,2018-03-21,10:40:00,594.30,594.30,593.20,593.75,31540
TATASTEEL,2018-03-21,10:41:00,593.50,594.75,593.50,594.30,14861
TATASTEEL,2018-03-21,10:42:00,594.30,594.55,594.20,594.20,6886
TATASTEEL,2018-03-21,10:43:00,594.40,594.50,593.80,593.85,6702
TATASTEEL,2018-03-21,10:44:00,593.60,594.15,593.50,593.85,12241
TATASTEEL,2018-03-21,10:45:00,593.60,593.90,593.50,593.60,6577
TATASTEEL,2018-03-21,10:46:00,593.60,593.60,592.80,592.85,44706
TATASTEEL,2018-03-21,10:47:00,592.85,593.50,592.85,593.20,16073
TATASTEEL,2018-03-21,10:48:00,593.20,593.25,593.00,593.15,9079
TATASTEEL,2018-03-21,10:49:00,593.40,593.55,593.10,593.10,6883
TATASTEEL,2018-03-21,10:50:00,593.20,593.25,593.00,593.10,9393
TATASTEEL,2018-03-21,10:51:00,593.10,593.30,593.00,593.10,10342
TATASTEEL,2018-03-21,10:52:00,593.10,593.10,592.85,592.90,6286
TATASTEEL,2018-03-21,10:53:00,592.90,592.90,592.25,592.35,30015
TATASTEEL,2018-03-21,10:54:00,592.20,592.60,592.20,592.25,19272
TATASTEEL,2018-03-21,10:55:00,592.35,592.95,592.25,592.85,11882
TATASTEEL,2018-03-21,10:56:00,592.85,593.00,592.60,592.60,8517
TATASTEEL,2018-03-21,10:57:00,592.55,592.85,592.55,592.55,7084
TATASTEEL,2018-03-21,10:58:00,592.65,593.20,592.50,593.20,13585
TATASTEEL,2018-03-21,10:59:00,593.20,593.50,593.00,593.30,7354
TATASTEEL,2018-03-21,11:00:00,593.35,593.90,593.35,593.75,12685
TATASTEEL,2018-03-21,11:01:00,593.75,593.75,593.00,593.10,8675
TATASTEEL,2018-03-21,11:02:00,593.10,593.10,592.80,592.85,10100
TATASTEEL,2018-03-21,11:03:00,592.90,592.90,592.35,592.50,12709
TATASTEEL,2018-03-21,11:04:00,592.35,592.50,592.30,592.30,7236
TATASTEEL,2018-03-21,11:05:00,592.30,592.85,592.30,592.65,16813
TATASTEEL,2018-03-21,11:06:00,592.65,593.20,592.60,592.80,11116
TATASTEEL,2018-03-21,11:07:00,592.70,592.80,592.45,592.60,7746
TATASTEEL,2018-03-21,11:08:00,592.65,593.50,592.55,593.35,10264
TATASTEEL,2018-03-21,11:09:00,593.35,593.50,593.25,593.25,8094
TATASTEEL,2018-03-21,11:10:00,593.25,593.30,593.05,593.10,5675
TATASTEEL,2018-03-21,11:11:00,593.10,593.25,592.65,592.90,10836
TATASTEEL,2018-03-21,11:12:00,592.75,592.75,592.40,592.45,21680
TATASTEEL,2018-03-21,11:13:00,592.45,592.50,592.25,592.40,23212
TATASTEEL,2018-03-21,11:14:00,592.50,592.50,592.20,592.35,12445
TATASTEEL,2018-03-21,11:15:00,592.35,592.50,592.30,592.45,17341
TATASTEEL,2018-03-21,11:16:00,592.50,592.50,592.20,592.25,11088
TATASTEEL,2018-03-21,11:17:00,592.30,592.30,591.60,591.65,59936
TATASTEEL,2018-03-21,11:18:00,591.55,591.70,591.25,591.40,38224
TATASTEEL,2018-03-21,11:19:00,591.50,591.50,591.15,591.20,16700
TATASTEEL,2018-03-21,11:20:00,591.20,591.95,591.10,591.50,36817
TATASTEEL,2018-03-21,11:21:00,591.30,591.70,591.15,591.30,18226
TATASTEEL,2018-03-21,11:22:00,591.20,591.40,591.10,591.30,23769
TATASTEEL,2018-03-21,11:23:00,591.30,592.40,591.30,592.00,24757
TATASTEEL,2018-03-21,11:24:00,592.00,592.40,591.90,592.00,13152
TATASTEEL,2018-03-21,11:25:00,592.25,593.30,592.00,592.80,37791
TATASTEEL,2018-03-21,11:26:00,592.85,592.90,592.75,592.75,11327
TATASTEEL,2018-03-21,11:27:00,592.80,592.80,592.75,592.75,12259
TATASTEEL,2018-03-21,11:28:00,592.75,592.80,592.50,592.55,20750
TATASTEEL,2018-03-21,11:29:00,592.55,592.60,592.55,592.55,12048
TATASTEEL,2018-03-21,11:30:00,592.60,592.60,592.20,592.30,16928
TATASTEEL,2018-03-21,11:31:00,592.00,592.15,591.15,591.30,43150
TATASTEEL,2018-03-21,11:32:00,591.55,592.00,591.20,591.75,14252
TATASTEEL,2018-03-21,11:33:00,591.75,592.40,591.65,592.20,15439
TATASTEEL,2018-03-21,11:34:00,592.05,592.95,592.00,592.90,21475
TATASTEEL,2018-03-21,11:35:00,592.95,592.95,592.50,592.70,29434
TATASTEEL,2018-03-21,11:36:00,592.75,593.30,592.60,593.15,32357
TATASTEEL,2018-03-21,11:37:00,593.15,593.20,592.45,592.50,23347
