symbol,date,time,open,high,low,close,volume
TCS,2018-03-21,09:16:00,2875.00,2884.25,2874.75,2884.10,24580
TCS,2018-03-21,09:17:00,2883.10,2884.00,2882.00,2883.05,19621
TCS,2018-03-21,09:18:00,2883.10,2883.65,2882.00,2882.40,9895
TCS,2018-03-21,09:19:00,2882.35,2882.35,2880.00,2880.05,11678
TCS,2018-03-21,09:20:00,2880.05,2880.10,2879.65,2880.10,5303
TCS,2018-03-21,09:21:00,2880.25,2880.25,2879.90,2879.95,6426
TCS,2018-03-21,09:22:00,2879.95,2879.95,2878.95,2878.95,5517
TCS,2018-03-21,09:23:00,2878.95,2878.95,2877.00,2877.00,4176
TCS,2018-03-21,09:24:00,2877.00,2877.00,2876.00,2877.00,6527
TCS,2018-03-21,09:25:00,2877.20,2878.10,2877.00,2878.10,6854
TCS,2018-03-21,09:26:00,2878.10,2879.90,2877.50,2877.50,5175
TCS,2018-03-21,09:27:00,2877.85,2877.85,2873.40,2873.55,7564
TCS,2018-03-21,09:28:00,2873.55,2874.90,2873.00,2873.00,3894
TCS,2018-03-21,09:29:00,2873.25,2873.40,2872.50,2872.90,7402
TCS,2018-03-21,09:30:00,2872.90,2872.90,2870.05,2872.10,6116
TCS,2018-03-21,09:31:00,2872.10,2872.95,2870.50,2872.20,5045
TCS,2018-03-21,09:32:00,2872.20,2872.65,2871.05,2871.05,3472
TCS,2018-03-21,09:33:00,2871.05,2872.15,2870.60,2870.70,2328
TCS,2018-03-21,09:34:00,2870.70,2872.05,2870.70,2871.50,3724
TCS,2018-03-21,09:35:00,2871.50,2871.85,2871.40,2871.50,3725
TCS,2018-03-21,09:36:00,2871.50,2872.15,2871.40,2871.55,4298
TCS,2018-03-21,09:37:00,2871.55,2871.60,2869.00,2869.00,9944
TCS,2018-03-21,09:38:00,2868.20,2870.00,2868.00,2869.10,6550
TCS,2018-03-21,09:39:00,2869.10,2870.00,2867.00,2867.95,3762
TCS,2018-03-21,09:40:00,2867.95,2867.95,2865.15,2865.60,5384
TCS,2018-03-21,09:41:00,2865.20,2865.20,2860.05,2864.50,15307
TCS,2018-03-21,09:42:00,2864.50,2865.30,2864.50,2865.00,7216
TCS,2018-03-21,09:43:00,2865.15,2867.85,2865.00,2866.65,6836
TCS,2018-03-21,09:44:00,2866.65,2870.00,2866.65,2869.50,3285
TCS,2018-03-21,09:45:00,2869.50,2870.00,2866.65,2868.05,4422
TCS,2018-03-21,09:46:00,2867.95,2869.60,2865.80,2867.30,4487
TCS,2018-03-21,09:47:00,2867.30,2868.70,2866.25,2868.70,2908
TCS,2018-03-21,09:48:00,2869.30,2869.35,2866.25,2868.05,1926
TCS,2018-03-21,09:49:00,2868.25,2869.00,2868.25,2868.65,3311
TCS,2018-03-21,09:50:00,2868.75,2868.75,2867.10,2868.40,3483
TCS,2018-03-21,09:51:00,2868.40,2868.50,2867.70,2868.25,2194
TCS,2018-03-21,09:52:00,2868.45,2870.00,2868.45,2869.95,4398
TCS,2018-03-21,09:53:00,2869.95,2878.00,2869.95,2876.10,6289
TCS,2018-03-21,09:54:00,2876.10,2876.65,2873.65,2875.50,5573
TCS,2018-03-21,09:55:00,2876.10,2878.00,2875.05,2876.10,5294
TCS,2018-03-21,09:56:00,2876.10,2876.10,2867.80,2875.85,11483
TCS,2018-03-21,09:57:00,2875.85,2876.35,2871.65,2876.35,4418
TCS,2018-03-21,09:58:00,2876.35,2877.55,2872.60,2873.85,8606
TCS,2018-03-21,09:59:00,2874.00,2875.60,2872.10,2872.50,7573
TCS,2018-03-21,10:00:00,2872.60,2877.00,2872.60,2876.10,5306
TCS,2018-03-21,10:01:00,2876.30,2877.50,2876.10,2876.25,3829
TCS,2018-03-21,10:02:00,2876.15,2876.50,2876.15,2876.35,1822
TCS,2018-03-21,10:03:00,2876.20,2878.00,2875.60,2877.00,5799
TCS,2018-03-21,10:04:00,2877.00,2879.10,2877.00,2878.50,3147
TCS,2018-03-21,10:05:00,2878.60,2879.80,2877.00,2877.00,4101
TCS,2018-03-21,10:06:00,2877.00,2877.55,2875.15,2876.90,3565
TCS,2018-03-21,10:07:00,2876.90,2877.55,2873.25,2873.25,4580
TCS,2018-03-21,10:08:00,2873.25,2875.80,2873.25,2875.00,2107
TCS,2018-03-21,10:09:00,2875.15,2875.25,2872.00,2872.50,4908
TCS,2018-03-21,10:10:00,2872.50,2875.75,2872.10,2873.75,1880
TCS,2018-03-21,10:11:00,2873.75,2878.00,2873.75,2876.50,2845
TCS,2018-03-21,10:12:00,2876.50,2877.40,2876.30,2876.75,1816
TCS,2018-03-21,10:13:00,2876.95,2877.35,2876.75,2876.90,1439
TCS,2018-03-21,10:14:00,2876.90,2877.75,2874.40,2875.65,4168
TCS,2018-03-21,10:15:00,2875.65,2877.85,2875.55,2876.10,4437
TCS,2018-03-21,10:16:00,2876.10,2877.35,2874.20,2874.20,2239
TCS,2018-03-21,10:17:00,2875.95,2878.00,2875.00,2876.80,3011
TCS,2018-03-21,10:18:00,2877.00,2878.00,2876.90,2877.80,4908
TCS,2018-03-21,10:19:00,2877.90,2879.10,2877.30,2878.35,3058
TCS,2018-03-21,10:20:00,2878.50,2878.85,2877.00,2878.45,2685
TCS,2018-03-21,10:21:00,2878.20,2879.00,2878.00,2878.50,1912
TCS,2018-03-21,10:22:00,2878.50,2879.45,2874.20,2877.10,6886
TCS,2018-03-21,10:23:00,2877.15,2879.00,2874.05,2876.40,4036
TCS,2018-03-21,10:24:00,2876.40,2877.85,2874.05,2875.05,6453
TCS,2018-03-21,10:25:00,2875.05,2878.35,2874.00,2874.65,7728
TCS,2018-03-21,10:26:00,2874.65,2876.50,2874.05,2874.95,3515
TCS,2018-03-21,10:27:00,2874.95,2876.95,2874.95,2876.45,1335
TCS,2018-03-21,10:28:00,2876.45,2877.60,2876.35,2876.85,1801
TCS,2018-03-21,10:29:00,2877.50,2877.50,2874.50,2877.50,3232
TCS,2018-03-21,10:30:00,2877.50,2877.85,2877.35,2877.35,1796
TCS,2018-03-21,10:31:00,2877.35,2877.45,2877.15,2877.45,1737
TCS,2018-03-21,10:32:00,2877.20,2878.30,2874.80,2878.30,3673
TCS,2018-03-21,10:33:00,2878.30,2878.75,2876.75,2877.70,3114
TCS,2018-03-21,10:34:00,2878.70,2878.80,2875.15,2877.40,3063
TCS,2018-03-21,10:35:00,2877.35,2878.05,2875.65,2878.05,3293
TCS,2018-03-21,10:36:00,2878.35,2878.75,2875.10,2877.45,4139
TCS,2018-03-21,10:37:00,2877.45,2878.65,2877.45,2877.90,2208
TCS,2018-03-21,10:38:00,2877.90,2878.50,2877.90,2877.95,2848
