symbol,date,time,open,high,low,close,volume
ULTRACEMCO,2018-03-21,09:16:00,3959.85,3972.95,3959.85,3964.10,1761
ULTRACEMCO,2018-03-21,09:17:00,3966.80,3974.90,3966.80,3972.00,857
ULTRACEMCO,2018-03-21,09:18:00,3972.10,3976.00,3972.00,3975.30,1279
ULTRACEMCO,2018-03-21,09:19:00,3975.10,3976.00,3974.40,3976.00,1397
ULTRACEMCO,2018-03-21,09:20:00,3970.70,3976.00,3969.05,3976.00,986
ULTRACEMCO,2018-03-21,09:21:00,3972.65,3975.00,3972.65,3972.80,514
ULTRACEMCO,2018-03-21,09:22:00,3973.50,3975.85,3970.80,3972.45,1184
ULTRACEMCO,2018-03-21,09:23:00,3972.00,3977.00,3971.85,3976.00,1069
ULTRACEMCO,2018-03-21,09:24:00,3976.00,3976.00,3973.45,3975.00,715
ULTRACEMCO,2018-03-21,09:25:00,3975.00,3975.00,3972.45,3973.70,494
ULTRACEMCO,2018-03-21,09:26:00,3973.75,3974.40,3971.40,3973.55,431
ULTRACEMCO,2018-03-21,09:27:00,3972.15,3973.60,3972.15,3972.75,313
ULTRACEMCO,2018-03-21,09:28:00,3972.50,3975.00,3971.95,3974.90,529
ULTRACEMCO,2018-03-21,09:29:00,3974.90,3976.00,3973.20,3973.20,1065
ULTRACEMCO,2018-03-21,09:30:00,3973.40,3973.85,3973.40,3973.40,256
ULTRACEMCO,2018-03-21,09:31:00,3973.00,3973.00,3965.70,3970.95,962
ULTRACEMCO,2018-03-21,09:32:00,3970.95,3970.95,3968.50,3969.75,516
ULTRACEMCO,2018-03-21,09:33:00,3969.10,3971.15,3968.45,3971.15,428
ULTRACEMCO,2018-03-21,09:34:00,3973.00,3975.30,3973.00,3974.90,594
ULTRACEMCO,2018-03-21,09:35:00,3974.90,3977.00,3974.90,3976.00,981
ULTRACEMCO,2018-03-21,09:36:00,3977.85,3985.65,3977.85,3983.00,1044
ULTRACEMCO,2018-03-21,09:37:00,3982.70,3982.85,3980.00,3980.00,1581
ULTRACEMCO,2018-03-21,09:38:00,3981.40,3982.65,3981.35,3982.55,316
ULTRACEMCO,2018-03-21,09:39:00,3982.00,3982.50,3981.80,3982.20,316
ULTRACEMCO,2018-03-21,09:40:00,3983.00,3984.90,3981.95,3983.90,535
ULTRACEMCO,2018-03-21,09:41:00,3984.00,3989.00,3983.90,3989.00,452
ULTRACEMCO,2018-03-21,09:42:00,3989.50,3998.00,3989.50,3995.05,1610
ULTRACEMCO,2018-03-21,09:43:00,3996.00,3998.15,3992.10,3992.80,471
ULTRACEMCO,2018-03-21,09:44:00,3993.80,3998.40,3993.00,3998.40,357
ULTRACEMCO,2018-03-21,09:45:00,3998.20,3999.00,3998.00,3998.00,497
ULTRACEMCO,2018-03-21,09:46:00,3997.30,3999.00,3996.05,3997.05,564
ULTRACEMCO,2018-03-21,09:47:00,3999.65,4000.00,3997.10,3997.95,379
ULTRACEMCO,2018-03-21,09:48:00,3997.95,3998.00,3997.95,3997.95,259
ULTRACEMCO,2018-03-21,09:49:00,3998.00,4005.05,3997.95,4005.05,603
ULTRACEMCO,2018-03-21,09:50:00,4006.00,4008.60,4006.00,4008.55,585
ULTRACEMCO,2018-03-21,09:51:00,4008.00,4008.00,4005.60,4007.55,1468
ULTRACEMCO,2018-03-21,09:52:00,4006.60,4007.60,4006.60,4007.00,227
ULTRACEMCO,2018-03-21,09:53:00,4006.95,4008.00,4005.45,4007.20,232
ULTRACEMCO,2018-03-21,09:54:00,4008.00,4012.20,4008.00,4012.20,405
ULTRACEMCO,2018-03-21,09:55:00,4014.95,4020.00,4013.00,4019.60,839
ULTRACEMCO,2018-03-21,09:56:00,4019.60,4022.90,4018.90,4020.45,594
ULTRACEMCO,2018-03-21,09:57:00,4022.00,4022.75,4020.35,4021.10,290
ULTRACEMCO,2018-03-21,09:58:00,4021.55,4021.65,4015.85,4017.00,678
ULTRACEMCO,2018-03-21,09:59:00,4016.75,4016.90,4014.00,4014.00,459
ULTRACEMCO,2018-03-21,10:00:00,4012.60,4012.60,4010.05,4010.25,243
ULTRACEMCO,2018-03-21,10:01:00,4011.30,4013.65,4010.30,4013.45,764
ULTRACEMCO,2018-03-21,10:02:00,4012.95,4013.00,4012.00,4013.00,332
ULTRACEMCO,2018-03-21,10:03:00,4012.95,4018.55,4012.95,4016.40,802
ULTRACEMCO,2018-03-21,10:04:00,4016.65,4016.65,4013.95,4016.50,178
ULTRACEMCO,2018-03-21,10:05:00,4015.05,4016.95,4015.05,4016.45,315
ULTRACEMCO,2018-03-21,10:06:00,4016.45,4016.55,4015.05,4016.40,430
ULTRACEMCO,2018-03-21,10:07:00,4015.80,4016.95,4015.80,4016.20,322
ULTRACEMCO,2018-03-21,10:08:00,4016.00,4016.10,4015.00,4015.90,266
ULTRACEMCO,2018-03-21,10:09:00,4015.50,4016.95,4014.60,4016.95,341
