symbol,date,time,open,high,low,close,volume
WIPRO,2018-03-21,09:16:00,294.00,294.00,291.20,292.35,41027
WIPRO,2018-03-21,09:17:00,292.60,293.00,292.40,292.90,12567
WIPRO,2018-03-21,09:18:00,293.05,293.20,292.50,292.70,19028
WIPRO,2018-03-21,09:19:00,292.70,292.95,292.35,292.40,13346
WIPRO,2018-03-21,09:20:00,292.50,292.65,292.40,292.65,12483
WIPRO,2018-03-21,09:21:00,292.65,293.15,292.60,293.15,13474
WIPRO,2018-03-21,09:22:00,293.15,293.30,293.05,293.15,14148
WIPRO,2018-03-21,09:23:00,293.15,293.15,292.90,292.90,15288
WIPRO,2018-03-21,09:24:00,293.00,293.30,293.00,293.30,4772
WIPRO,2018-03-21,09:25:00,293.30,293.30,293.10,293.30,9172
WIPRO,2018-03-21,09:26:00,293.20,293.30,293.20,293.30,950
WIPRO,2018-03-21,09:27:00,293.05,293.15,292.80,292.80,15994
WIPRO,2018-03-21,09:28:00,292.80,292.90,292.80,292.80,7733
WIPRO,2018-03-21,09:29:00,292.80,293.15,292.80,293.00,12826
WIPRO,2018-03-21,09:30:00,293.00,293.00,292.85,293.00,4888
WIPRO,2018-03-21,09:31:00,292.85,293.00,292.85,292.90,3830
WIPRO,2018-03-21,09:32:00,292.90,292.90,292.60,292.60,5370
WIPRO,2018-03-21,09:33:00,292.70,292.70,292.25,292.55,11614
WIPRO,2018-03-21,09:34:00,292.55,292.55,292.40,292.45,2052
WIPRO,2018-03-21,09:35:00,292.55,292.55,292.45,292.50,5799
WIPRO,2018-03-21,09:36:00,292.50,292.65,292.45,292.50,11817
WIPRO,2018-03-21,09:37:00,292.65,292.80,292.65,292.80,7199
WIPRO,2018-03-21,09:38:00,292.70,292.75,292.60,292.70,4762
WIPRO,2018-03-21,09:39:00,292.60,292.65,292.55,292.60,9506
WIPRO,2018-03-21,09:40:00,292.55,292.55,292.45,292.45,4491
WIPRO,2018-03-21,09:41:00,292.55,292.55,292.15,292.30,13220
WIPRO,2018-03-21,09:42:00,292.20,292.45,292.20,292.45,1525
WIPRO,2018-03-21,09:43:00,292.35,292.45,292.35,292.35,3410
WIPRO,2018-03-21,09:44:00,292.35,292.60,292.25,292.60,14216
WIPRO,2018-03-21,09:45:00,292.60,292.70,292.60,292.60,3458
WIPRO,2018-03-21,09:46:00,292.60,292.60,292.45,292.50,5426
WIPRO,2018-03-21,09:47:00,292.50,292.55,292.45,292.55,6303
WIPRO,2018-03-21,09:48:00,292.50,292.55,292.40,292.55,5012
WIPRO,2018-03-21,09:49:00,292.50,292.60,292.50,292.60,5259
WIPRO,2018-03-21,09:50:00,292.65,292.90,292.65,292.85,10515
WIPRO,2018-03-21,09:51:00,292.80,292.85,292.70,292.85,3552
WIPRO,2018-03-21,09:52:00,292.85,292.85,292.80,292.85,4152
WIPRO,2018-03-21,09:53:00,292.85,292.85,292.80,292.80,1908
WIPRO,2018-03-21,09:54:00,292.80,292.80,292.75,292.80,3722
WIPRO,2018-03-21,09:55:00,292.75,292.75,292.70,292.75,5921
WIPRO,2018-03-21,09:56:00,292.70,292.70,292.60,292.65,9201
WIPRO,2018-03-21,09:57:00,292.60,292.70,292.60,292.70,3544
WIPRO,2018-03-21,09:58:00,292.65,292.70,292.65,292.70,2125
WIPRO,2018-03-21,09:59:00,292.70,292.70,292.45,292.70,6307
WIPRO,2018-03-21,10:00:00,292.70,292.75,292.70,292.70,2603
WIPRO,2018-03-21,10:01:00,292.75,292.80,292.70,292.80,8147
WIPRO,2018-03-21,10:02:00,292.80,292.90,292.65,292.65,29762
WIPRO,2018-03-21,10:03:00,292.75,292.75,292.50,292.65,7125
WIPRO,2018-03-21,10:04:00,292.45,292.60,292.30,292.60,6560
WIPRO,2018-03-21,10:05:00,292.60,292.60,292.50,292.55,1418
WIPRO,2018-03-21,10:06:00,292.55,292.60,292.55,292.55,1502
WIPRO,2018-03-21,10:07:00,292.60,292.60,292.55,292.60,2341
WIPRO,2018-03-21,10:08:00,292.55,292.90,292.55,292.85,6827
WIPRO,2018-03-21,10:09:00,292.85,292.95,292.85,292.85,1066
WIPRO,2018-03-21,10:10:00,292.85,292.95,292.85,292.95,4112
WIPRO,2018-03-21,10:11:00,292.95,292.95,292.90,292.95,832
WIPRO,2018-03-21,10:12:00,293.05,293.15,293.00,293.15,6185
WIPRO,2018-03-21,10:13:00,293.15,293.35,293.15,293.35,11005
WIPRO,2018-03-21,10:14:00,293.30,293.40,293.30,293.40,4152
WIPRO,2018-03-21,10:15:00,293.40,293.50,293.40,293.40,5162
WIPRO,2018-03-21,10:16:00,293.50,293.60,293.40,293.60,4067
WIPRO,2018-03-21,10:17:00,293.65,293.85,293.65,293.85,3223
WIPRO,2018-03-21,10:18:00,293.80,294.00,293.75,294.00,17937
WIPRO,2018-03-21,10:19:00,294.00,294.00,293.95,293.95,23642
WIPRO,2018-03-21,10:20:00,293.95,294.00,293.90,293.95,5992
WIPRO,2018-03-21,10:21:00,294.00,294.00,293.85,293.85,19307
WIPRO,2018-03-21,10:22:00,293.85,293.90,293.60,293.60,14947
WIPRO,2018-03-21,10:23:00,293.65,293.65,293.55,293.60,3268
WIPRO,2018-03-21,10:24:00,293.60,293.80,293.60,293.70,5027
WIPRO,2018-03-21,10:25:00,293.70,293.80,293.70,293.80,2288
WIPRO,2018-03-21,10:26:00,293.75,293.90,293.75,293.90,3435
WIPRO,2018-03-21,10:27:00,293.90,293.90,293.80,293.85,2096
WIPRO,2018-03-21,10:28:00,293.90,293.90,293.85,293.85,1048
WIPRO,2018-03-21,10:29:00,293.90,293.90,293.70,293.80,5540
WIPRO,2018-03-21,10:30:00,293.80,293.80,293.70,293.70,2888
WIPRO,2018-03-21,10:31:00,293.75,293.75,293.70,293.70,3800
WIPRO,2018-03-21,10:32:00,293.70,293.70,293.60,293.70,5173
WIPRO,2018-03-21,10:33:00,293.70,293.70,293.60,293.65,2763
WIPRO,2018-03-21,10:34:00,293.70,293.70,293.60,293.60,2948
WIPRO,2018-03-21,10:35:00,293.50,293.70,293.50,293.70,3536
WIPRO,2018-03-21,10:36:00,293.70,293.80,293.65,293.75,6914
WIPRO,2018-03-21,10:37:00,293.80,293.85,293.75,293.85,6819
WIPRO,2018-03-21,10:38:00,293.85,293.90,293.85,293.90,460
WIPRO,2018-03-21,10:39:00,293.90,293.90,293.85,293.90,5954
WIPRO,2018-03-21,10:40:00,293.90,293.95,293.90,293.95,695
WIPRO,2018-03-21,10:41:00,293.90,294.00,293.90,293.95,11704
WIPRO,2018-03-21,10:42:00,293.95,294.00,293.85,293.85,21310
