symbol,date,time,open,high,low,close,volume
ZEEL,2018-03-21,09:16:00,579.75,579.75,573.35,575.00,5151
ZEEL,2018-03-21,09:17:00,575.05,577.00,575.05,576.00,5626
ZEEL,2018-03-21,09:18:00,575.45,576.30,575.00,575.40,9342
ZEEL,2018-03-21,09:19:00,575.60,575.75,573.70,574.30,4962
ZEEL,2018-03-21,09:20:00,574.35,574.60,573.30,573.45,3715
ZEEL,2018-03-21,09:21:00,573.30,573.45,572.30,572.35,3660
ZEEL,2018-03-21,09:22:00,572.35,572.80,571.10,572.00,6232
ZEEL,2018-03-21,09:23:00,572.00,572.75,572.00,572.75,3461
ZEEL,2018-03-21,09:24:00,572.80,573.25,572.50,573.00,3577
ZEEL,2018-03-21,09:25:00,572.60,572.95,572.40,572.60,2751
ZEEL,2018-03-21,09:26:00,572.65,572.65,572.05,572.10,2660
ZEEL,2018-03-21,09:27:00,572.60,572.60,572.20,572.25,773
ZEEL,2018-03-21,09:28:00,572.55,572.75,572.25,572.75,11741
ZEEL,2018-03-21,09:29:00,573.00,575.20,572.65,574.10,2875
ZEEL,2018-03-21,09:30:00,574.45,574.45,574.00,574.15,1736
ZEEL,2018-03-21,09:31:00,574.45,575.95,574.45,575.70,3810
ZEEL,2018-03-21,09:32:00,575.80,576.90,575.80,576.20,3784
ZEEL,2018-03-21,09:33:00,576.20,576.45,576.05,576.15,1501
ZEEL,2018-03-21,09:34:00,576.30,576.50,576.30,576.45,646
ZEEL,2018-03-21,09:35:00,576.15,576.55,576.15,576.40,2822
ZEEL,2018-03-21,09:36:00,576.15,576.50,576.15,576.25,2092
ZEEL,2018-03-21,09:37:00,576.25,576.30,575.50,575.70,2865
ZEEL,2018-03-21,09:38:00,575.50,575.50,575.00,575.40,2445
ZEEL,2018-03-21,09:39:00,575.50,575.50,575.10,575.35,1257
ZEEL,2018-03-21,09:40:00,575.35,575.40,575.25,575.35,1422
ZEEL,2018-03-21,09:41:00,575.00,575.00,574.35,574.60,2353
ZEEL,2018-03-21,09:42:00,574.40,575.00,574.40,574.85,1906
ZEEL,2018-03-21,09:43:00,575.00,575.00,574.30,574.60,1603
ZEEL,2018-03-21,09:44:00,574.80,574.80,574.35,574.35,1891
ZEEL,2018-03-21,09:45:00,574.00,574.60,573.00,573.25,3550
ZEEL,2018-03-21,09:46:00,573.15,573.40,572.90,573.10,1435
ZEEL,2018-03-21,09:47:00,572.75,573.15,572.40,572.60,2996
ZEEL,2018-03-21,09:48:00,572.95,572.95,572.00,572.00,4812
ZEEL,2018-03-21,09:49:00,572.00,573.05,571.35,573.05,3778
ZEEL,2018-03-21,09:50:00,572.70,573.35,572.70,573.10,1355
ZEEL,2018-03-21,09:51:00,573.35,573.55,573.10,573.50,1243
ZEEL,2018-03-21,09:52:00,573.45,573.45,573.00,573.35,857
ZEEL,2018-03-21,09:53:00,573.25,573.85,573.00,573.85,832
ZEEL,2018-03-21,09:54:00,573.95,574.40,573.95,574.35,1710
ZEEL,2018-03-21,09:55:00,574.35,575.50,574.30,574.90,2529
ZEEL,2018-03-21,09:56:00,574.90,575.30,574.35,574.75,1806
ZEEL,2018-03-21,09:57:00,574.90,575.00,574.50,574.95,1215
ZEEL,2018-03-21,09:58:00,574.95,575.35,574.80,575.35,1279
ZEEL,2018-03-21,09:59:00,575.35,575.70,575.10,575.65,1608
ZEEL,2018-03-21,10:00:00,575.70,575.85,575.40,575.40,2600
ZEEL,2018-03-21,10:01:00,575.30,575.60,574.70,574.80,1249
ZEEL,2018-03-21,10:02:00,574.80,574.85,574.35,574.45,1274
ZEEL,2018-03-21,10:03:00,574.60,575.70,574.30,574.65,5587
ZEEL,2018-03-21,10:04:00,574.30,574.75,574.15,574.25,1521
ZEEL,2018-03-21,10:05:00,574.65,574.75,574.20,574.20,2131
ZEEL,2018-03-21,10:06:00,574.70,574.70,574.00,574.00,1094
ZEEL,2018-03-21,10:07:00,574.15,574.25,573.50,573.65,1165
ZEEL,2018-03-21,10:08:00,573.95,574.60,573.90,574.20,1411
ZEEL,2018-03-21,10:09:00,574.30,574.30,574.00,574.05,1840
ZEEL,2018-03-21,10:10:00,574.05,574.35,574.00,574.35,2172
ZEEL,2018-03-21,10:11:00,574.60,574.60,573.75,573.80,1126
ZEEL,2018-03-21,10:12:00,573.80,573.80,573.50,573.55,957
ZEEL,2018-03-21,10:13:00,573.65,574.20,573.65,573.90,1473
ZEEL,2018-03-21,10:14:00,574.00,574.10,573.95,573.95,889
ZEEL,2018-03-21,10:15:00,574.10,574.10,573.50,573.55,1152
ZEEL,2018-03-21,10:16:00,573.60,574.00,573.50,573.50,1277
ZEEL,2018-03-21,10:17:00,573.50,573.90,573.50,573.70,994
ZEEL,2018-03-21,10:18:00,573.90,574.10,573.55,573.55,3154
ZEEL,2018-03-21,10:19:00,573.60,574.00,573.60,573.70,1916
ZEEL,2018-03-21,10:20:00,573.85,574.60,573.85,574.10,1482
ZEEL,2018-03-21,10:21:00,574.00,574.00,573.95,573.95,2158
ZEEL,2018-03-21,10:22:00,574.00,574.00,573.85,573.85,1732
ZEEL,2018-03-21,10:23:00,574.00,574.00,573.85,573.90,642
ZEEL,2018-03-21,10:24:00,574.00,574.00,573.95,573.95,1753
ZEEL,2018-03-21,10:25:00,573.95,574.00,573.90,574.00,1041
ZEEL,2018-03-21,10:26:00,574.00,574.00,573.85,573.85,672
ZEEL,2018-03-21,10:27:00,573.95,573.95,573.85,573.85,478
ZEEL,2018-03-21,10:28:00,573.90,573.90,573.55,573.70,298
ZEEL,2018-03-21,10:29:00,573.75,573.75,573.50,573.65,882
ZEEL,2018-03-21,10:30:00,573.70,573.95,573.65,573.95,1607
ZEEL,2018-03-21,10:31:00,574.00,574.00,573.90,573.95,269
ZEEL,2018-03-21,10:32:00,574.00,574.00,573.50,573.70,1528
ZEEL,2018-03-21,10:33:00,573.55,573.80,572.75,573.10,5831
ZEEL,2018-03-21,10:34:00,573.00,573.00,572.65,572.65,1321
ZEEL,2018-03-21,10:35:00,572.65,572.75,572.05,572.25,2455
ZEEL,2018-03-21,10:36:00,572.05,572.05,571.55,571.65,6204
ZEEL,2018-03-21,10:37:00,571.65,571.85,571.55,571.75,4213
ZEEL,2018-03-21,10:38:00,571.85,572.70,571.75,572.70,6123
ZEEL,2018-03-21,10:39:00,572.75,573.15,572.50,573.15,1311
ZEEL,2018-03-21,10:40:00,573.40,573.70,573.10,573.65,3761
ZEEL,2018-03-21,10:41:00,574.05,574.95,574.05,574.90,3819
ZEEL,2018-03-21,10:42:00,574.90,575.10,574.25,574.75,5868
ZEEL,2018-03-21,10:43:00,574.75,574.85,574.55,574.55,1343
ZEEL,2018-03-21,10:44:00,574.55,574.80,574.45,574.80,1613
ZEEL,2018-03-21,10:45:00,574.75,574.75,573.65,573.65,1169
ZEEL,2018-03-21,10:46:00,573.70,574.00,573.70,574.00,604
ZEEL,2018-03-21,10:47:00,574.00,574.10,573.95,574.10,651
ZEEL,2018-03-21,10:48:00,574.15,574.25,574.10,574.25,541
ZEEL,2018-03-21,10:49:00,574.25,574.50,574.20,574.50,587
ZEEL,2018-03-21,10:50:00,574.50,574.65,574.10,574.65,1461
ZEEL,2018-03-21,10:51:00,574.50,574.90,574.50,574.90,905
ZEEL,2018-03-21,10:52:00,575.00,575.05,574.75,574.95,1715
ZEEL,2018-03-21,10:53:00,575.00,575.00,574.50,574.50,1400
ZEEL,2018-03-21,10:54:00,574.80,574.90,574.65,574.65,884
ZEEL,2018-03-21,10:55:00,574.70,574.70,574.10,574.50,1471
ZEEL,2018-03-21,10:56:00,574.60,574.60,574.15,574.35,450
ZEEL,2018-03-21,10:57:00,574.50,574.50,573.95,574.20,1207
ZEEL,2018-03-21,10:58:00,574.20,574.20,573.90,574.00,401
ZEEL,2018-03-21,10:59:00,573.80,574.00,573.50,573.50,1232
ZEEL,2018-03-21,11:00:00,573.60,573.65,573.00,573.00,2991
ZEEL,2018-03-21,11:01:00,572.90,572.90,572.40,572.85,1544
ZEEL,2018-03-21,11:02:00,572.85,573.45,572.80,573.35,868
ZEEL,2018-03-21,11:03:00,573.35,573.75,573.35,573.70,722
ZEEL,2018-03-21,11:04:00,573.70,574.00,573.55,574.00,209
ZEEL,2018-03-21,11:05:00,574.00,574.35,574.00,574.35,1049
ZEEL,2018-03-21,11:06:00,574.40,574.45,574.25,574.45,1314
ZEEL,2018-03-21,11:07:00,574.45,574.45,574.10,574.35,866
ZEEL,2018-03-21,11:08:00,574.40,574.45,574.25,574.25,1199
ZEEL,2018-03-21,11:09:00,574.25,574.40,573.95,574.00,761
ZEEL,2018-03-21,11:10:00,574.00,574.00,573.95,573.95,880
ZEEL,2018-03-21,11:11:00,574.00,574.00,574.00,574.00,592
ZEEL,2018-03-21,11:12:00,574.00,574.00,573.95,574.00,3370
ZEEL,2018-03-21,11:13:00,574.00,574.00,574.00,574.00,309
ZEEL,2018-03-21,11:14:00,574.00,574.00,573.95,574.00,1028
ZEEL,2018-03-21,11:15:00,574.00,574.00,574.00,574.00,736
ZEEL,2018-03-21,11:16:00,574.00,574.00,574.00,574.00,209
ZEEL,2018-03-21,11:17:00,574.00,574.35,574.00,574.35,1595
ZEEL,2018-03-21,11:18:00,574.40,574.40,574.35,574.40,293
ZEEL,2018-03-21,11:19:00,574.40,574.50,574.40,574.45,1054
ZEEL,2018-03-21,11:20:00,574.45,574.65,574.45,574.65,596
ZEEL,2018-03-21,11:21:00,574.75,574.95,574.75,574.85,724
ZEEL,2018-03-21,11:22:00,574.85,574.85,574.80,574.85,552
ZEEL,2018-03-21,11:23:00,574.80,574.90,574.50,574.90,1085
ZEEL,2018-03-21,11:24:00,574.50,575.00,574.50,574.75,1486
ZEEL,2018-03-21,11:25:00,574.75,574.95,574.50,574.70,617
ZEEL,2018-03-21,11:26:00,574.60,574.80,574.60,574.80,250
ZEEL,2018-03-21,11:27:00,574.80,574.85,574.75,574.85,1935
ZEEL,2018-03-21,11:28:00,574.85,574.85,574.80,574.85,770
ZEEL,2018-03-21,11:29:00,574.90,575.00,574.90,575.00,1096
ZEEL,2018-03-21,11:30:00,575.00,575.00,574.95,575.00,4755
ZEEL,2018-03-21,11:31:00,575.00,575.00,574.95,575.00,1951
ZEEL,2018-03-21,11:32:00,574.95,575.00,574.80,574.90,762
ZEEL,2018-03-21,11:33:00,574.95,574.95,574.75,574.95,229
ZEEL,2018-03-21,11:34:00,574.95,575.00,574.90,575.00,426
ZEEL,2018-03-21,11:35:00,575.00,575.00,574.90,574.90,2360
ZEEL,2018-03-21,11:36:00,574.90,574.95,574.90,574.95,127
ZEEL,2018-03-21,11:37:00,574.95,574.95,574.50,574.65,1189
ZEEL,2018-03-21,11:38:00,574.65,575.00,574.60,574.65,1010
ZEEL,2018-03-21,11:39:00,574.65,574.65,574.60,574.65,335
ZEEL,2018-03-21,11:40:00,574.60,574.65,574.10,574.15,765
ZEEL,2018-03-21,11:41:00,574.20,574.25,574.20,574.25,85
ZEEL,2018-03-21,11:42:00,574.30,574.35,574.05,574.35,2271
ZEEL,2018-03-21,11:43:00,574.35,574.40,573.90,574.30,689
ZEEL,2018-03-21,11:44:00,574.30,574.30,573.65,573.65,1341
ZEEL,2018-03-21,11:45:00,573.75,574.05,573.75,573.95,485
ZEEL,2018-03-21,11:46:00,573.95,574.15,573.90,574.15,398
ZEEL,2018-03-21,11:47:00,574.15,574.30,573.85,574.25,512
ZEEL,2018-03-21,11:48:00,574.30,574.50,574.25,574.50,551
ZEEL,2018-03-21,11:49:00,574.70,574.75,574.70,574.75,130
ZEEL,2018-03-21,11:50:00,574.75,574.75,574.30,574.70,897
ZEEL,2018-03-21,11:51:00,574.65,574.65,574.15,574.30,557
ZEEL,2018-03-21,11:52:00,574.40,574.60,573.85,573.85,407
ZEEL,2018-03-21,11:53:00,574.00,574.00,573.70,573.70,481
ZEEL,2018-03-21,11:54:00,573.85,574.25,573.60,574.25,986
ZEEL,2018-03-21,11:55:00,574.20,574.25,573.95,574.00,314
ZEEL,2018-03-21,11:56:00,574.00,574.10,573.95,574.10,509
ZEEL,2018-03-21,11:57:00,574.10,574.10,574.00,574.10,284
ZEEL,2018-03-21,11:58:00,574.20,574.20,573.95,574.00,479
ZEEL,2018-03-21,11:59:00,574.00,574.00,573.95,574.00,514
ZEEL,2018-03-21,12:00:00,573.95,574.00,573.95,574.00,367
ZEEL,2018-03-21,12:01:00,574.00,574.00,573.50,573.70,1053
ZEEL,2018-03-21,12:02:00,573.70,573.90,573.65,573.85,266
ZEEL,2018-03-21,12:03:00,573.90,573.95,573.85,573.90,687
ZEEL,2018-03-21,12:04:00,573.90,573.90,573.70,573.70,261
ZEEL,2018-03-21,12:05:00,573.70,573.85,572.75,572.75,4437
ZEEL,2018-03-21,12:06:00,572.70,573.00,572.50,572.85,1179
ZEEL,2018-03-21,12:07:00,572.90,573.00,572.90,573.00,1343
ZEEL,2018-03-21,12:08:00,573.50,573.90,573.35,573.90,758
ZEEL,2018-03-21,12:09:00,573.85,574.00,573.85,574.00,474
ZEEL,2018-03-21,12:10:00,574.05,574.10,574.05,574.10,370
ZEEL,2018-03-21,12:11:00,574.10,574.10,573.60,573.85,1573
ZEEL,2018-03-21,12:12:00,573.85,573.85,573.55,573.75,512
ZEEL,2018-03-21,12:13:00,573.80,573.80,573.75,573.80,367
ZEEL,2018-03-21,12:14:00,573.80,573.80,573.80,573.80,384
ZEEL,2018-03-21,12:15:00,573.80,573.80,573.70,573.80,156
ZEEL,2018-03-21,12:16:00,573.80,573.80,573.80,573.80,121
ZEEL,2018-03-21,12:17:00,573.75,573.80,573.75,573.80,763
ZEEL,2018-03-21,12:18:00,573.80,573.80,573.50,573.65,278
ZEEL,2018-03-21,12:19:00,573.60,573.65,573.40,573.55,453
ZEEL,2018-03-21,12:20:00,573.50,573.50,573.25,573.25,730
ZEEL,2018-03-21,12:21:00,573.15,573.15,572.75,573.00,1033
ZEEL,2018-03-21,12:22:00,573.00,573.00,572.95,573.00,70
